dataset,truefam,best_1feat_auc,best_det_auc,best_apnorm,gap
381_UCR_id_79_HumanActivity_tr_16000_1st_31200.csv,local,0.5881333333333335,0.7721801576677079,0.3246028501722187,0.18404682433437436
430_UCR_id_128_HumanActivity_tr_12500_1st_46500.csv,local,0.5854545454545454,0.7359650724108556,0.2094951028104652,0.15051052695631018
433_UCR_id_131_Facility_tr_50000_1st_106720.csv,local,0.6106222222222222,0.6916637513015024,0.2522367293679499,0.0810415290792802
461_UCR_id_159_Medical_tr_45096_1st_131200.csv,global,0.9374857142857144,0.9377184165232357,0.7860301727708293,0.00023270223752136499
529_UCR_id_227_Facility_tr_19948_1st_52000.csv,local,0.6826046511627907,0.8029875470875751,0.4680091468803568,0.12038289592478446
867_OPPORTUNITY_id_26_HumanActivity_tr_808_1st_908.csv,local,0.9851973684210525,0.9983841181902124,0.994541910331384,0.0131867497691599
AbstractAnomalyBatch,local,0.76029625,0.9817496670799467,0.8868916070786822,0.2214534170799467
ArchaeologicalAnomalies,local,0.4868032717767097,0.7511408579251597,0.2596825895705568,0.26433758614845004
ArtCollections,local,0.8226153846153845,0.809630187416332,0.2824255257694367,-0.012985197199052556
AustinCrime,local,0.724331982523903,0.7645945461069251,0.2118791113419851,0.04026256358302216
BCellImmunity,global,0.55965875,0.7393204787587848,0.2852019412133893,0.17966172875878483
BarExamPrediction,global,0.76939,0.8159502218387602,0.4241645525606357,0.046560221838760185
BaseballBattedBall,global,0.7885421518397764,0.8437310403983348,0.3659939631754917,0.05518888855855841
BaseballPitchingAnomalies,global,0.9963094433175569,0.7994252873563218,0.3204853884756404,-0.1968841559612351
BatchProcessingEvents,local,0.67202,0.6459000827993376,0.3268935484003643,-0.026119917200662313
BrainEEGSignals,local,0.6395545454545455,0.7884184308841843,0.5415929285713339,0.1488638854296388
BuildingEnergyCompliance,global,0.6806414879483772,0.6873157461883975,0.2028959393359642,0.006674258240020325
BuildingInspections,global,0.7344700000000001,0.7633619305409001,0.4074213692633371,0.0288919305409
BusTracking,local,0.6910873914719433,0.8882358326467088,0.7699810875288099,0.1971484411747655
BusinessAnomalies,local,0.6188037499999999,0.7842673469500081,0.3709366416348323,0.16546359695000823
BusinessProcessFraud,global,0.8726313320825516,0.9127119178168526,0.7401078681455987,0.040080585734300955
CardiacHealth,local,0.67984875,0.9836082431285567,0.9670237659219384,0.30375949312855666
CelestialObjects2,global,0.9615275,0.8206073641624417,0.3428971538525003,-0.14092013583755825
CityTreeCondition,local,0.5746901500326158,0.730489417989418,0.2284530354920737,0.1557992679568022
CodeSmell,global,0.5794398706262863,0.6067260109224976,0.1428499128248024,0.027286140296211236
CodeStrata,local,0.6245592705167173,0.8252587991718426,0.2854834264904052,0.2006995286551253
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),local,0.5910663841807909,0.6539756944444445,0.1877565740919023,0.06290931026365354
CropWeedDetection,local,0.4835221110977226,0.6726306131260795,0.133485115846135,0.18910850202835694
CryptojackingSystem,local,0.62206375,0.7322061906523616,0.308150441988466,0.11014244065236156
CustomerChurn2,local,0.6561237499999999,0.7536030612337977,0.2658883216651278,0.09747931123379783
DiabetesMetrics,global,0.8905877976190476,0.8376204648526078,0.3328461307286002,-0.052967332766439834
DiamondClarity,local,0.7105925,0.9111556807695308,0.7591846794576541,0.20056318076953084
DragonFlySystem,global,0.5648075,0.7392078326657766,0.4182385497903992,0.1744003326657766
EEGEyeState,local,0.5759725,0.882148371624079,0.6864206121112718,0.306175871624079
ElectronicCommerceAnomalies,local,0.6516835933745555,0.7232057871692366,0.2744704381835153,0.07152219379468105
