dataset,truefam,reg_random,reg_best_fixed,reg_iforest_random,reg_em,reg_mv,reg_consensus,reg_model_centrality,reg_hits,reg_beta1,reg_betaext,reg_matched
166_UCR_Anomaly_apneaecg_10000_12240_12308.txt,local,0.33260606723080655,0.11134278296522404,0.4247012336668501,0.0,0.0,0.4252043506249535,0.4252043506249535,0.4252043506249535,0.10998871740444893,0.0,0.10998871740444893
167_UCR_Anomaly_gait1_20000_38500_38800.txt,local,0.25979980450140555,0.06100510060036013,0.33760934282034566,0.11420975710777415,0.11420975710777415,0.3363653612895194,0.3363653612895194,0.3363653612895194,0.0,0.11420975710777415,0.0
168_UCR_Anomaly_gait2_22000_46500_46800.txt,local,0.2545161537011995,0.01816104035421595,0.32956806441475905,0.12790332829446244,0.12790332829446244,0.3320536150173772,0.3320536150173772,0.3320536150173772,0.03761675149796795,0.11877998633317391,0.03761675149796795
170_UCR_Anomaly_gaitHunt1_18500_33070_33180.txt,local,0.308439948178196,0.20056709605329415,0.2819978020064573,0.03417394775865562,0.03417394775865562,0.28895077844148975,0.28895077844148975,0.28895077844148975,0.009516537380635681,0.03417394775865562,0.009516537380635681
171_UCR_Anomaly_gaitHunt2_18500_31200_31850.txt,local,0.3594558375840299,0.1387143895742859,0.38494525478284813,0.13256544638977863,0.13256544638977863,0.3816111953767294,0.3816111953767294,0.3816111953767294,0.03727197390592729,0.13256544638977863,0.03727197390592729
181_UCR_Anomaly_park3m_60000_72150_72495.txt,local,0.28825104769037624,0.04120766209166682,0.33635699682110676,0.07944798936474168,0.07944798936474168,0.3418217048261235,0.3418217048261235,0.3418217048261235,0.07253835334956232,0.07944798936474168,0.07253835334956232
197_UCR_Anomaly_tiltAPB1_100000_114283_114350.txt,local,0.1818020877473981,0.15992875171711468,0.20957044620925624,0.03270859410208038,0.03270859410208038,0.2047844768110617,0.2047844768110617,0.2047844768110617,0.03667512296583997,0.03667512296583997,0.03667512296583997
207_UCR_Anomaly_CHARISten_3165_26929_26989.txt,local,0.11232532500593258,0.017440901563899852,0.20858005108028005,0.01579307950014583,0.01899694173832933,0.20404239393508766,0.20404239393508766,0.20404239393508766,0.027861725276998678,0.01899694173832933,0.027861725276998678
221_UCR_Anomaly_STAFFIIIDatabase_45616_163632_164852.txt,local,0.13013444818880548,0.0,0.14779746355560364,0.09839941946297787,0.09839941946297787,0.15358910131206926,0.15358910131206926,0.15358910131206926,0.06446769615282813,0.09839941946297787,0.06446769615282813
223_UCR_Anomaly_mit14046longtermecg_74123_131200_131700.txt,global,0.6051105250135633,0.48123695281524065,0.6868347158320873,0.6652528163362235,0.6652528163362235,0.6767005542260911,0.6767005542260911,0.6767005542260911,0.5555336841155842,0.6652528163362235,0.5555336841155842
228_MGAB_id_4_Synthetic_tr_25000_1st_38948.csv,local,0.19749759414862245,0.10612390570596453,0.22794248167657538,0.18001536972674329,0.18001536972674329,0.22913336498765022,0.22913336498765022,0.22913336498765022,0.0,0.18001536972674329,0.0
229_MGAB_id_5_Synthetic_tr_25000_1st_33098.csv,local,0.19545322838941612,0.11788920473443752,0.2223284267911178,0.16249727304305506,0.16249727304305506,0.22268440656670452,0.22268440656670452,0.22268440656670452,0.0,0.16249727304305506,0.0
230_MGAB_id_6_Synthetic_tr_25000_1st_42441.csv,local,0.3402249519474246,0.22597416325541295,0.3908071477499028,0.3196109500329038,0.3196109500329038,0.3900722900957819,0.3900722900957819,0.3900722900957819,0.0,0.3196109500329038,0.0
244_UCR_Anomaly_tilt12754table_100013_104630_104890.txt,global,0.12874054399223656,0.0061998215007670054,0.16239206923330077,0.15812457984989392,0.10573333684188335,0.15812457984989392,0.15812457984989392,0.16371156314001123,0.10573333684188335,0.10573333684188335,0.10573333684188335
248_UCR_Anomaly_weallwalk_2000_4702_4707.txt,local,0.4492143674173411,0.2856563583916142,0.4858508974383303,0.49007198170144306,0.49007198170144306,0.4965342948747975,0.4965342948747975,0.4965342948747975,0.0,0.0,0.0
302_Power_id_1_Facility_tr_7685_1st_7785.csv,global,0.13015835880772902,0.22540940678699717,0.09185204969696636,0.07671284022795131,0.22540940678699717,0.09523882276136819,0.07671284022795131,0.09523882276136819,0.19983694953232117,0.19983694953232117,0.19983694953232117
314_UCR_id_12_HumanActivity_tr_16250_1st_38500.csv,local,0.1181589418460941,0.032218121623914325,0.17438733507014972,0.0,0.0,0.1758099558621363,0.1758099558621363,0.1758099558621363,0.0,0.0,0.0
345_UCR_id_43_Facility_tr_25000_1st_44630.csv,global,0.10619761780576548,0.10195523668431819,0.10638159637109093,0.11479338855949241,0.11479338855949241,0.1072908081888752,0.1072908081888752,0.1072908081888752,0.09914473304778781,0.10195523668431819,0.09914473304778781
