corpus,dataset,m_sil_tr,m_gmm_tr,m_sil_val,marg,marg_rel,iso,inter,best_local,best_global,glob_adv
ucr,063_UCR_Anomaly_DISTORTEDgaitHunt2_18500_31200_31850.txt,0.40823639992335964,0.2644382545063556,0.3961018070086794,1.932287512634671,1.0449353386351463,1.214414519392446,0.6,0.2639941042347745,0.0115564284756253,-0.25243767575914916
ucr,072_UCR_Anomaly_DISTORTEDltstdbs30791ES_20000_52600_52800.txt,0.5260792836610335,0.42882148562185246,0.5214545768739766,1.9222290150110082,1.0699882715161801,2.429666987221987,0.5625,0.2464746936071849,0.1125856836283063,-0.1338890099788786
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495.txt,0.38706641876708076,0.27288138832828207,0.3728255250095698,2.1323069864559465,1.1121497643360225,1.0743161846429226,0.44,0.2088870051273781,0.0287835171208909,-0.1801034880064872
ucr,078_UCR_Anomaly_DISTORTEDresperation1_100000_110260_110412.txt,0.3477991264577505,0.19669724711385314,0.3534687368232865,2.699963478182686,1.4729773147897602,2.504633004298905,0.07692307692307693,0.607680070074375,0.1862113900707825,-0.4214686800035925
ucr,086_UCR_Anomaly_DISTORTEDsddb49_20000_67950_68200.txt,0.3795298434338586,0.20898228898304375,0.3626859794210981,1.9094921149832254,1.0044321403523682,1.5344181990150445,0.5,0.2083797636789777,0.0408874482151249,-0.1674923154638528
ucr,089_UCR_Anomaly_DISTORTEDtiltAPB1_100000_114283_114350.txt,0.3456544984622425,0.21669335841525317,0.3343839726845531,1.9478710798498944,1.1521548877053938,1.24690808760898,0.625,0.1771334180049953,0.0086000566611878,-0.1685333613438075
ucr,093_UCR_Anomaly_NOISE1sddb40_35000_52000_52620.txt,0.45624590864630504,0.3551593664592056,0.4173558521225536,1.7657971071485954,1.0826715904958466,2.184880249570872,0.5348837209302325,0.4702697614072504,0.0939676971598173,-0.3763020642474331
ucr,097_UCR_Anomaly_NOISEGP711MarkerLFM5z3_5000_5948_5993.txt,0.49849842355328516,0.3887751308156415,0.5133506533565078,1.9393222962567467,0.9805813691863765,0.9688544520400146,0.8571428571428571,0.6288857325695404,0.0023908233507544,-0.626494909218786
ucr,099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629.txt,0.30814543102744596,0.19038155868862788,0.3116671108850365,2.281963211228727,1.2491420578596153,1.6975059120447773,0.3076923076923077,0.6690058861813877,0.3639367690917531,-0.3050691170896346
ucr,102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440.txt,0.44757428754591794,0.2659181318439224,0.3657383636805116,3.407590889356687,1.7842305216878074,2.4987643831524946,0.2857142857142857,0.3252564321424243,0.2011164575554012,-0.12413997458702308
