corpus,dataset,best,local_ev,reg_beta1,reg_betaext,reg_em,truefam
ucr,099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629.txt,0.6690058861813877,-0.00584269662921344,0.005031316853980727,0.005031316853980727,0.0,local
ucr,168_UCR_Anomaly_gait2_22000_46500_46800.txt,0.35892093836566447,-0.016526369168356925,0.03761675149796795,0.11877998633317391,0.11877998633317391,local
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,0.466404452783983,-0.04691683569979721,0.015442679670940374,0.06653040670190391,0.4067280482608891,local
ucr,181_UCR_Anomaly_park3m_60000_72150_72495.txt,0.4281159746082448,-0.00012170385395537942,0.07253835334956232,0.07944798936474168,0.07944798936474168,local
ucr,157_UCR_Anomaly_TkeepFirstMARS_3500_5365_5380.txt,0.3938100397255327,0.0036111111111110095,0.07895067888210955,0.3293203016773818,0.22371228146246339,local
ucr,014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100.txt,0.5093995085592248,-0.009661246612466146,0.3139639106073845,0.3139639106073845,0.06338299036319966,local
ucr,171_UCR_Anomaly_gaitHunt2_18500_31200_31850.txt,0.5610041778884148,-0.0072718052738337535,0.03727197390592729,0.13256544638977863,0.13256544638977863,local
ucr,248_UCR_Anomaly_weallwalk_2000_4702_4707.txt,0.5443000725150229,-0.012474747474747416,0.0,0.0,0.49007198170144306,local
ucr,052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809.txt,0.6464118621021954,0.013259259259259193,0.0,0.4166566622491763,0.5665487677975828,local
ucr,160_UCR_Anomaly_TkeepThirdMARS_3500_4711_4809.txt,0.8670629076277777,0.005240740740740657,0.0,0.48348133496621026,0.7779518667334727,local
