dataset,modality,split,corpus,dedup_group,n_variants,base_rate,gt_best,gt_second,best_ap_norm,mean_ap_norm,worst_ap_norm,spread_ap_norm,best_auc,zone,gt_ranking,mz_rule_auc,hbos_rule_auc,rule_auc,rule_trivial,include
131_OPPORTUNITY_id_3_HumanActivity_tr_7016_1st_26691.csv,timeseries,test,tsbad_m,g171,23,0.0642,LOF_k20,LOF_k50,0.2655,0.0589,-0.0182,0.2066,0.8978,live,LOF_k20|LOF_k50|LOF_k10|HBOS_b5|ECOD,0.6201190476190477,0.2832142857142857,0.6201190476190477,False,True
132_OPPORTUNITY_id_4_HumanActivity_tr_895_1st_995.csv,timeseries,test,tsbad_m,g172,23,0.2355,LOF_k20,LOF_k3,0.493,0.1368,-0.0957,0.3562,0.8409,live,LOF_k20|LOF_k3|LOF_k10|LOF_k50|HBOS_b50,0.5214421252371917,0.503225806451613,0.5214421252371917,False,True
133_OPPORTUNITY_id_5_HumanActivity_tr_1745_1st_6500.csv,timeseries,test,tsbad_m,g173,23,0.2464,PCA_c0.9,PCA_c0.3,1.0,0.8991,0.5046,0.1009,1.0,live,PCA_c0.9|PCA_c0.3|PCA|LOF_k100|KNN_k10,0.9976744186046512,0.8046511627906976,0.9976744186046512,True,False
134_OPPORTUNITY_id_6_HumanActivity_tr_1477_1st_1577.csv,timeseries,test,tsbad_m,g174,23,0.1187,LOF_k50,LOF_k100,0.4541,0.0738,-0.0402,0.3804,0.8752,live,LOF_k50|LOF_k100|LOF_k20|LOF_k10|LOF_k3,0.7032085561497327,0.4784039489921843,0.7032085561497327,False,True
139_CATSv2_id_2_Sensor_tr_5592_1st_5692.csv,timeseries,test,tsbad_m,g38,23,0.0655,HBOS_b20,HBOS,0.0276,-0.0097,-0.0286,0.0373,0.5754,floor,HBOS_b20|HBOS|LOF_k3|PCA|PCA_c0.3,,,,False,False
145_SMAP_id_2_Sensor_tr_2133_1st_5400.csv,timeseries,test,tsbad_m,g227,23,0.2488,LOF_k10,KNN_k3,0.4535,0.2846,0.0804,0.1689,0.7448,live,LOF_k10|KNN_k3|LOF_k20|LOF_k3|CBLOF,0.7596533567354102,0.6744186046511628,0.7596533567354102,False,True
146_UCR_Anomaly_Lab2Cmac011215EPG2_5000_27862_27932.txt,timeseries,test,ucr,g333,23,0.0209,COPOD,HBOS_b20,0.1008,0.0495,0.0055,0.0513,0.8382,live,COPOD|HBOS_b20|HBOS_b50|HBOS|HBOS_b5,,,,False,False
151_UCR_Anomaly_MesoplodonDensirostris_10000_19280_19440.txt,timeseries,test,ucr,g334,23,0.0435,LOF_k100,KNN_k3,0.316,0.15,0.0299,0.1659,0.7868,live,LOF_k100|KNN_k3|LOF_k50|KNN_k10|KNN_k20,0.778061224489796,0.7421150278293136,0.778061224489796,False,True
154_UCR_Anomaly_PowerDemand3_16000_23405_23477.txt,timeseries,test,ucr,g349,23,0.0235,COPOD,PCA_c0.3,0.0183,0.0017,-0.0039,0.0166,0.6752,floor,COPOD|PCA_c0.3|HBOS_b5|HBOS_b20|HBOS_b50,,,,False,False
157_UCR_Anomaly_TkeepFirstMARS_3500_5365_5380.txt,timeseries,test,ucr,g362,23,0.034,LOF_k10,LOF_k3,0.3938,0.0855,0.0048,0.3083,0.9423,live,LOF_k10|LOF_k3|LOF_k20|HBOS_b20|HBOS_b50,0.6971830985915493,0.7169014084507043,0.7169014084507043,False,True
160_SMAP_id_17_Sensor_tr_1832_1st_5300.csv,timeseries,test,tsbad_m,g226,23,0.2373,PCA_c0.3,PCA,0.704,0.3308,0.0238,0.3732,0.8558,live,PCA_c0.3|PCA|PCA_c0.9|KNN_k100|LOF_k3,0.8006524725274725,0.837912087912088,0.837912087912088,False,True
160_UCR_Anomaly_TkeepThirdMARS_3500_4711_4809.txt,timeseries,test,ucr,g363,23,0.0664,LOF_k3,LOF_k10,0.8671,0.1805,0.0298,0.6866,0.9678,live,LOF_k3|LOF_k10|LOF_k20|KNN_k3|LOF_k50,0.6799999999999999,0.6685714285714286,0.6799999999999999,False,True
