dataset,corpus,mz_rule_auc,hbos_rule_auc,worst
151_UCR_Anomaly_MesoplodonDensirostris_10000_19280_19440.txt,ucr,0.778061224489796,0.7421150278293136,0.778061224489796
157_UCR_Anomaly_TkeepFirstMARS_3500_5365_5380.txt,ucr,0.6971830985915493,0.7169014084507043,0.7169014084507043
160_SMAP_id_17_Sensor_tr_1832_1st_5300.csv,tsbad_m,0.8006524725274725,0.837912087912088,0.837912087912088
160_UCR_Anomaly_TkeepThirdMARS_3500_4711_4809.txt,ucr,0.6799999999999999,0.6685714285714286,0.6799999999999999
164_UCR_Anomaly_apneaecg3_5000_11111_11211.txt,ucr,0.9744258872651358,0.9473903966597078,0.9744258872651358
166_UCR_Anomaly_apneaecg_10000_12240_12308.txt,ucr,0.6824218750000001,0.73203125,0.73203125
167_UCR_Anomaly_gait1_20000_38500_38800.txt,ucr,0.5417391304347825,0.5418260869565217,0.5418260869565217
168_UCR_Anomaly_gait2_22000_46500_46800.txt,ucr,0.5263478260869565,0.529391304347826,0.529391304347826
170_UCR_Anomaly_gaitHunt1_18500_33070_33180.txt,ucr,0.762,0.8458181818181819,0.8458181818181819
171_SWaT_id_1_Sensor_tr_3749_1st_9522.csv,tsbad_m,0.6511627906976745,0.6806515818143726,0.6806515818143726
171_UCR_Anomaly_gaitHunt2_18500_31200_31850.txt,ucr,0.5794222222222222,0.6984,0.6984
181_UCR_Anomaly_park3m_60000_72150_72495.txt,ucr,0.5628,0.628,0.628
197_UCR_Anomaly_tiltAPB1_100000_114283_114350.txt,ucr,0.7627499999999999,0.68875,0.7627499999999999
202_UCR_Anomaly_CHARISfive_10411_10998_11028.txt,ucr,0.996,0.8673333333333333,0.996
207_UCR_Anomaly_CHARISten_3165_26929_26989.txt,ucr,0.8007745266781411,0.7283419391853128,0.8007745266781411
221_UCR_Anomaly_STAFFIIIDatabase_45616_163632_164852.txt,ucr,0.6641111111111111,0.7015061728395062,0.7015061728395062
222_UCR_Anomaly_mit14046longtermecg_56123_91200_91700.txt,ucr,0.8700571428571429,0.8167428571428572,0.8700571428571429
223_UCR_Anomaly_mit14046longtermecg_74123_131200_131700.txt,ucr,0.6845142857142856,0.5510857142857143,0.6845142857142856
228_MGAB_id_4_Synthetic_tr_25000_1st_38948.csv,tsbad_u,0.5465192465192465,0.6087360087360087,0.6087360087360087
229_MGAB_id_5_Synthetic_tr_25000_1st_33098.csv,tsbad_u,0.4976348465935221,0.5458905459562446,0.5458905459562446
230_MGAB_id_6_Synthetic_tr_25000_1st_42441.csv,tsbad_u,0.48156565656565653,0.4954545454545454,0.4954545454545454
239_UCR_Anomaly_taichidbS0715Master_190037_593450_593514.txt,ucr,0.9205,0.917625,0.9205
240_UCR_Anomaly_taichidbS0715Master_240030_884100_884200.txt,ucr,0.7438,0.8641,0.8641
244_UCR_Anomaly_tilt12754table_100013_104630_104890.txt,ucr,0.682952380952381,0.6327619047619047,0.682952380952381
248_UCR_Anomaly_weallwalk_2000_4702_4707.txt,ucr,0.5173076923076924,0.3519230769230769,0.5173076923076924
302_Power_id_1_Facility_tr_7685_1st_7785.csv,tsbad_u,0.46556876175127593,0.5334407735697019,0.5334407735697019
314_UCR_id_12_HumanActivity_tr_16250_1st_38500.csv,tsbad_u,0.47130434782608704,0.5730434782608695,0.5730434782608695
345_UCR_id_43_Facility_tr_25000_1st_44630.csv,tsbad_u,0.6566666666666666,0.54,0.6566666666666666
368_UCR_id_66_Facility_tr_50000_1st_125720.csv,tsbad_u,0.6059777777777777,0.6300444444444444,0.6300444444444444
381_UCR_id_79_HumanActivity_tr_16000_1st_31200.csv,tsbad_u,0.47815555555555556,0.6917777777777778,0.6917777777777778
416_UCR_id_114_Medical_tr_50000_1st_91200.csv,tsbad_u,0.8697142857142857,0.8021142857142858,0.8697142857142857
430_UCR_id_128_HumanActivity_tr_12500_1st_46500.csv,tsbad_u,0.47627272727272724,0.5496363636363637,0.5496363636363637
433_UCR_id_131_Facility_tr_50000_1st_106720.csv,tsbad_u,0.5827777777777777,0.6414666666666666,0.6414666666666666
461_UCR_id_159_Medical_tr_45096_1st_131200.csv,tsbad_u,0.6818285714285715,0.5553142857142856,0.6818285714285715
529_UCR_id_227_Facility_tr_19948_1st_52000.csv,tsbad_u,0.5785581395348838,0.5751627906976744,0.5785581395348838
842_OPPORTUNITY_id_1_HumanActivity_tr_7295_1st_27516.csv,tsbad_u,0.9460439560439561,0.9660439560439561,0.9660439560439561
848_OPPORTUNITY_id_7_HumanActivity_tr_1477_1st_1577.csv,tsbad_u,0.9851162790697675,0.9603100775193799,0.9851162790697675
850_OPPORTUNITY_id_9_HumanActivity_tr_895_1st_995.csv,tsbad_u,0.9503856942496495,0.8872720897615709,0.9503856942496495
854_OPPORTUNITY_id_13_HumanActivity_tr_1477_1st_1577.csv,tsbad_u,0.9939534883720931,0.9150387596899225,0.9939534883720931
863_OPPORTUNITY_id_22_HumanActivity_tr_808_1st_908.csv,tsbad_u,1.0,0.9633458646616542,1.0
867_OPPORTUNITY_id_26_HumanActivity_tr_808_1st_908.csv,tsbad_u,0.837171052631579,0.7551691729323308,0.837171052631579
868_OPPORTUNITY_id_27_HumanActivity_tr_2085_1st_2185.csv,tsbad_u,0.9740338983050847,0.9230508474576271,0.9740338983050847
