dataset,corpus,mz_rule_auc,hbos_rule_auc
jasmine,ovrbench,0.5816920599529295,0.6785457698501177
madeline,ovrbench,0.42658063027426163,0.49325883438818574
malware-analysis-datasets-pe-section-headers,ovrbench,0.5774095859297652,0.5468289557975656
mozilla4,ovrbench,0.5492727272727272,0.2286027272727273
ozone-level-8hr,ovrbench,0.4693618421052632,0.48275
page-blocks,ovrbench,0.9109400346429848,0.7552019466058123
philippine,ovrbench,0.5513529570879302,0.6903945360047915
rice_cammeo_and_osmancik,ovrbench,0.8955454846910578,0.8897977230021001
seismic-bumps,ovrbench,0.6098472319208106,0.6523392994964902
sf-police-incidents,ovrbench,0.5155013413816231,0.4974024703778225
students_dropout_and_academic_success,ovrbench,0.7329547950621622,0.7536609117134532
thyroid-ann,ovrbench,0.8430976258698323,0.9046839366118941
visualizing_soil,ovrbench,0.6993728284653524,0.8996916888711933
volcanoes-a4,ovrbench,0.7658210583742499,0.8854531992829865
volkert,ovrbench,0.6898981015076002,0.9390918863214378
waveform_database_generator_version_1,ovrbench,0.7298275862068965,0.8165922920892494
