corpus,dataset,reg_udr,reg_matched,reg_em,reg_random,truefam
tsbad_m,086_SVDB_id_3_Medical_tr_533_1st_633.csv,0.03481550044847983,0.0303604406991719,0.035341915134979,0.0433298326636188,global
ovrbench,jannis,0.006265927272794403,0.0239597486087187,0.0,0.1827313836408232,global
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,0.12503013373863914,0.0452235246691407,0.0537485790617262,0.1039832824313082,local
ovrbench,AmazonReviewAnomalies,0.13524893524342013,0.0774185049500016,0.0770936838289911,0.302200615664306,global
ovrbench,sf-police-incidents,0.0936962153760076,0.1075274516081222,0.1075274516081222,0.0757483089651064,local
ovrbench,CreditCustomerData,0.18289961638676874,0.0558221349108119,0.176468815419079,0.1075063759969401,local
ovrbench,CelestialObjects2,0.10916819961261998,0.1438238878516955,0.1438238878516955,0.2912592997734523,global
oddbench,TBAnomalyDetection,0.1466014004687616,0.0596685949192741,0.077038615723143,0.1836236069924176,local
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,0.32167435709319026,0.0231540729699823,0.0079149836725913,0.0995526118055751,local
ovrbench,PsychoPrediction,0.24530952364161696,0.0411483420179866,0.0951807542136144,0.1306335101986216,global
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,-0.33841317904665524,0.0117628470968622,0.0105611805140076,0.0326284974385477,local
ovrbench,CustomerChurn2,0.16784957825688718,0.2801886976401918,0.1118589449992665,0.2051861235801658,local
tsbad_m,101_SVDB_id_18_Medical_tr_1851_1st_1951.,0.09435234214883335,0.0510237921195964,0.0510237921195964,0.0946060824558858,local
ovrbench,FinancialMetricsAnomaly,0.06348883349198468,0.0958678037931156,0.1294190541461748,0.0980296557314372,global
ovrbench,CardiacHealth,0.7633047444503436,0.0030992569078435,0.0,0.653474581562728,local
ovrbench,SensorAnomaly,0.20088336462187292,0.2061146974610165,0.2530773718884036,0.1694972329086632,local
ovrbench,BCellImmunity,0.2622944847815384,0.1114525268554938,0.176517289005631,0.2307494115050467,global
oddbench,HealthPulse,0.0635188235073879,0.0829267298606891,0.0829267298606891,0.0649551288226269,local
oddbench,PropertyCondition,0.16633526921770025,0.1780846322900924,0.2334999547188566,0.0911646489155182,local
ovrbench,HealthActivityObesity,0.25834569944785024,0.0530328463922018,0.2520168227091593,0.1763006641246221,local
oddbench,TransactionFeeAnomalies,0.011749161359913773,0.1955061368937751,0.8522233489756588,0.501013797714163,local
ovrbench,TwitterEmotion,0.11595815302781527,0.0367946237403984,0.0927513438303925,0.0708337016013111,local
ovrbench,BoundingBoxClassification,0.02861720308865978,0.1188303715068235,0.1188303715068235,0.1976890627007993,global
ovrbench,FootballEfficiency,0.07059429526028424,0.0706531872585269,0.0706531872585269,0.0763876254466894,local
oddbench,GeneticVariation,0.12164165781010775,0.2155218074778623,0.1854329313355248,0.1692702579767906,global
tsbad_m,140_CATSv2_id_3_Sensor_tr_28307_1st_2840,0.5616512476119578,0.1141715305875988,0.513011887173544,0.2296557848785114,global
adbench,35_SpamBase,0.015872044044188405,0.4886066661527776,0.0,0.2194027399020262,global
dami,SpamBase,0.02069025233099986,0.5339516895948642,0.0,0.3475234570577605,global
tsbad_m,088_SVDB_id_5_Medical_tr_500_1st_168.csv,0.17781388869180914,0.0,0.0684621155437663,0.1208815602770276,local
oddbench,ProsperLoan,0.05019454572054848,0.0569198309846443,0.0428830672661624,0.060215737583436,local
tsbad_m,031_MITDB_id_13_Medical_tr_50000_1st_794,0.018609399403874516,0.0029766512866344,0.0032837651068226,0.013957741156738,local
ovrbench,JobChangePatterns,0.27040831618895445,0.1807774400255177,0.3186736200144506,0.3218545916379797,global
ovrbench,TrafficSensor,0.5196884885183722,0.0400119476799081,0.0562567018248503,0.5728269467996715,local
ovrbench,PokemonBattle,0.16929855630355437,0.0947311441418079,0.0947311441418079,0.1809130544037024,local
tsbad_m,022_MITDB_id_4_Medical_tr_50000_1st_5425,0.03583823061079285,0.0337346175351222,0.0082968699933362,0.0391943618433667,local
ovrbench,RealEstateListings,0.10443491082265768,0.1440009715979066,0.1702765641852188,0.1147175850102821,local
oddbench,BuildingInspections,0.32931657279108617,0.1890461422070835,0.3185783904941562,0.2336617741814556,global
tsbad_m,026_MITDB_id_8_Medical_tr_30495_1st_3059,0.1482373612862503,0.0095313690260632,0.1048440294802519,0.1237897258482205,local
ovrbench,ViralProteinFunction,0.08027313282772056,0.2508512299709335,0.137970028508555,0.153365519123876,local
ovrbench,GeotechnicalAnomalies,0.24795605017459288,0.2828099318296662,0.0664889357997865,0.1712196906987965,local
ovrbench,BreastCancer,0.04987974407109072,0.128898241793699,0.0,0.0607586892336813,global
tsbad_m,098_SVDB_id_15_Medical_tr_500_1st_303.cs,0.14773256229671428,0.0209828166860516,0.0219689049987023,0.103605342046159,local
oddbench,ProtestViolence,0.5164037185322234,0.8650689069673555,0.0,0.6599062346869884,global
ovrbench,UserMovieInteractions,0.33545432433609756,0.3382071412758108,0.1542808185668756,0.3089381792184396,global
ovrbench,Word2VecPCA,0.12118176555140678,0.148701077065516,0.148701077065516,0.1171736517977229,global
tsbad_m,085_SVDB_id_2_Medical_tr_50000_1st_54982,0.14596497690974022,0.0027862784594125,0.1208041119486538,0.1345113909705794,local
ovrbench,TextAnomalyDetection,0.14401124601880022,0.0304377573142765,0.1110341102644589,0.0967035208685538,global
ovrbench,BNG(cmc),0.3557516654475422,0.0,0.2455088132212206,0.2745758503352018,global
oddbench,GlobalTerrorismAttack,0.48817190211244565,0.6227314669624484,0.4750211723304574,0.434395422498571,global
tsbad_m,021_MITDB_id_3_Medical_tr_50000_1st_5759,0.4310538593088329,0.0186939349863167,0.1032369741365994,0.3108003956192439,local
ovrbench,FICO-HELOC-cleaned,0.16080311233066685,0.1118140010419105,0.2116984993897921,0.0874342330225084,local
tsbad_m,082_LTDB_id_4_Medical_tr_4456_1st_4556.c,0.14764208324467887,0.0,0.0474038303615321,0.1140058299144163,local
oddbench,TrialBehavior,0.1687458900800531,0.1810947281050813,0.1629022270994806,0.1618517644665923,global
ovrbench,compass,0.1657554058803672,0.1619724184342568,0.2251850891572383,0.1046867283239043,local
ovrbench,KickstarterCampaigns,0.12320876691760368,0.1978275639294279,0.2177768427904122,0.2677542943789446,local
tsbad_m,115_PSM_id_1_Facility_tr_50000_1st_12987,0.058924670441289406,0.2013549654510677,0.1947743238556553,0.1587338174448417,global
adbench,19_landsat,0.5583791539669749,0.0036882567379893,0.159055521462475,0.4246318593137341,local
ovrbench,SpatialAnomalies,0.6028788262215369,0.0242332070023649,0.3444706978138131,0.4649006967609235,local
tsbad_m,099_SVDB_id_16_Medical_tr_1115_1st_1215.,0.15374068284798215,0.0,0.0248948614845714,0.1130896702550655,local
oddbench,RulePriorityAnomalies,0.12706800227754136,0.0048077598317112,0.010307235059453,0.1052490405876492,global
oddbench,WaterChemistry,0.4205949743468945,0.0,0.5633167528918326,0.4929150543073419,local
ovrbench,EmployeePerformance,0.48123280631466847,0.5418070193718372,0.0913918702608651,0.4773927185425589,local
ovrbench,SepsisMonitoring,0.0693097859452422,0.073573511331233,0.0605830337026139,0.0658549108985369,local
tsbad_m,113_SVDB_id_30_Medical_tr_4552_1st_4652.,0.10925195015023689,0.0836195828345937,0.0888331062521965,0.1022463927542469,global
ovrbench,BatchProcessingEvents,0.08248777402374399,0.0787113952130203,0.0787113952130203,0.0555830258738309,local
