corpus,dataset,dip_frac,mean_dip,bc_frac,gmm_k,silh,dip_proj_frac,dip_proj_minp,bestdir_p
ovrbench,BatchProcessingEvents,1.0,0.06452701727776482,1.0,14,0.700304003064721,0.5666666666666667,0.0,0.0
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,0.9375,0.06773706491856665,0.625,14,0.5301807531580179,0.7333333333333333,0.0,0.0
ovrbench,FinancialMetricsAnomaly,0.13043478260869565,0.009489533745803158,0.17391304347826086,3,0.378717857242343,0.0,0.5382631850027538,0.0
adbench,30_satellite,1.0,0.04061295706608206,0.5555555555555556,9,0.49675217580375425,0.6833333333333333,0.0,0.0
tsbad_m,022_MITDB_id_4_Medical_tr_50000_1st_5425,0.8125,0.03955772492284621,0.75,15,0.594108056505604,0.4166666666666667,0.0,0.0
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,0.8125,0.0339928071029464,0.5625,11,0.547907276708907,0.3,0.0,0.0
tsbad_m,113_SVDB_id_30_Medical_tr_4552_1st_4652.,0.8125,0.08269229871489336,0.6875,11,0.6009558679611728,0.5666666666666667,0.0,0.0
ovrbench,volkert,0.54421768707483,0.01642732666477248,0.4421768707482993,10,0.2891815151071975,0.0,0.761324108870245,0.6218785764866332
ovrbench,philippine,0.12337662337662338,0.008190638467589662,0.11363636363636363,8,0.25351562784040826,0.0,0.2722704516132086,1.0
tsbad_m,102_SVDB_id_19_Medical_tr_50000_1st_1073,0.8125,0.04952797578395469,0.5625,13,0.6182468441260569,0.5333333333333333,0.0,0.0
oddbench,FantasyFootball,0.8,0.05081440523770755,0.6,9,0.2763380193026903,0.0,0.6660025634248374,0.9736891263795484
oddbench,SMSClassification,0.8888888888888888,0.028354444662926265,0.3333333333333333,15,0.2814973197849881,0.016666666666666666,0.00016345735529754712,0.9932662409119472
ovrbench,UrlAnalysis,0.8666666666666667,0.04198763745621194,0.6666666666666666,12,0.2459747029245939,0.03333333333333333,0.0014777659490489148,0.0029800575731873113
