corpus,dataset,truefam,reg_random,reg_beta1,reg_matched,reg_em,reg_mv,reg_consensus,reg_model_centrality,reg_hits
ovrbench,FinancialMetricsAnomaly,global,0.09802965573143727,0.09586780379311562,0.09586780379311562,0.12941905414617483,0.12941905414617483,0.13739637083870673,0.13739637083870673,0.13794015452715314
ovrbench,CardiacHealth,local,0.653474581562728,0.0030992569078435173,0.0030992569078435173,0.0,0.0,0.7774070204512654,0.7774070204512654,0.7774070204512654
ovrbench,SensorAnomaly,local,0.16949723290866325,0.20611469746101657,0.20611469746101657,0.2530773718884036,0.20611469746101657,0.20611469746101657,0.20611469746101657,0.20611469746101657
ovrbench,BCellImmunity,global,0.23074941150504674,0.11145252685549388,0.11145252685549388,0.17651728900563107,0.17651728900563107,0.26566358178356797,0.26566358178356797,0.26566358178356797
oddbench,HealthPulse,local,0.06495512882262697,0.0,0.08292672986068918,0.08292672986068918,0.08292672986068918,0.08292672986068918,0.08292672986068918,0.08292672986068918
oddbench,PropertyCondition,local,0.09116464891551829,0.20539826858160698,0.17808463229009244,0.23349995471885665,0.20539826858160698,0.17808463229009244,0.17808463229009244,0.17808463229009244
ovrbench,HealthActivityObesity,local,0.1763006641246221,0.0001021411868015118,0.05303284639220188,0.2520168227091593,0.05303284639220188,0.2520168227091593,0.2520168227091593,0.2520168227091593
oddbench,TransactionFeeAnomalies,local,0.501013797714163,0.19550613689377516,0.19550613689377516,0.8522233489756588,0.02982753448861797,0.3676716570839751,0.3676716570839751,0.0
ovrbench,TwitterEmotion,local,0.07083370160131111,0.09275134383039256,0.036794623740398436,0.09275134383039256,0.09275134383039256,0.0977656709069391,0.0977656709069391,0.0977656709069391
ovrbench,BoundingBoxClassification,global,0.19768906270079933,0.368616250615321,0.11883037150682352,0.11883037150682352,0.11883037150682352,0.031821815786988616,0.031821815786988616,0.031821815786988616
ovrbench,FootballEfficiency,local,0.07638762544668942,0.00998927025356855,0.07065318725852698,0.07065318725852698,0.07065318725852698,0.16635356659856168,0.16635356659856168,0.08057844146764714
oddbench,GeneticVariation,global,0.16927025797679068,0.36287575021478735,0.21552180747786231,0.18543293133552488,0.18543293133552488,0.14377314756919007,0.14377314756919007,0.14377314756919007
tsbad_m,140_CATSv2_id_3_Sensor_tr_28307_1st_2840,global,0.22965578487851146,0.11417153058759888,0.11417153058759888,0.513011887173544,0.513011887173544,0.12362803221723773,0.12362803221723773,0.12362803221723773
adbench,35_SpamBase,global,0.2194027399020262,0.4886066661527776,0.4886066661527776,0.0,0.0,0.1511612017674293,0.1511612017674293,0.1700367001081975
dami,SpamBase,global,0.34752345705776055,0.5339516895948642,0.5339516895948642,0.0,0.0,0.48304272906051826,0.48304272906051826,0.5902030792341514
