corpus,dataset,truefam,reg_small,reg_edge,reg_beta1,reg_random,rho_small,rho_edge,rho_beta1
ovrbench,CelestialObjects2,global,0.28739175347658336,0.24555548617541095,0.22847990460546844,0.2899556149694512,0.1564993564993565,0.5966537966537967,-0.17889317889317893
oddbench,TBAnomalyDetection,local,0.042302533448568325,0.13299244092035678,0.21472962799358847,0.18374671145478114,0.6206220229756233,0.2580554777248529,0.024096385542168672
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,local,0.18005200649226277,0.1822781265700686,0.023154072969982342,0.1005838594725561,-0.32792792792792796,-0.7837837837837839,0.7801801801801801
ovrbench,PsychoPrediction,global,0.08032871888293999,0.21887412640761933,0.037844297832593694,0.12828481476390913,-0.17780155939458797,-0.5960862253478061,0.04510013759364011
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,local,0.026084311362288382,0.060888930345759214,0.011762847096862233,0.03261605287101403,-0.39425923542283425,-0.6583858926502767,0.8882739091260137
ovrbench,CustomerChurn2,local,0.3013998969718895,0.18199350235464726,0.28018869764019183,0.21356740272938032,-0.5113914274681426,0.4732912858797786,0.36233749517312397
tsbad_m,101_SVDB_id_18_Medical_tr_1851_1st_1951.,local,0.12359376194381949,0.14051814909150998,0.051023792119596414,0.09483145645292763,-0.5341084185460148,-0.736377643927721,0.8792547975906989
ovrbench,FinancialMetricsAnomaly,global,0.02023146244132347,0.0676533311627444,0.09586780379311562,0.0988147965629794,0.4182951692823006,0.627170868347339,-0.6050420168067228
ovrbench,CardiacHealth,local,0.8902792214643086,0.848220647737983,0.0030992569078435173,0.6550899424620681,-0.6416988416988417,-0.7927927927927929,0.8972972972972973
ovrbench,SensorAnomaly,local,0.22370634032465825,0.24849818030512322,0.20611469746101657,0.16926744994511478,-0.6827002596793043,-0.7949579831932774,-0.461624649859944
ovrbench,BCellImmunity,global,0.28550955800720057,0.2887517806302682,0.11145252685549388,0.23123399669547132,-0.28641307905111213,-0.8089844252799587,0.5088170935770369
oddbench,HealthPulse,local,0.11339086498939278,0.09196054969976178,0.0,0.06571554524623308,-0.03912483912483913,-0.28211068211068213,0.4797940797940798
oddbench,PropertyCondition,local,0.145607614879319,0.1142592825868719,0.20539826858160698,0.09196710893536228,-0.2443300997799657,-0.6936936936936938,-0.6172458172458173
ovrbench,HealthActivityObesity,local,0.21951091671986378,0.39858157951959394,0.0001021411868015118,0.1742292166414262,0.2189096587784797,-0.9042347792508687,0.3597631612820183
oddbench,TransactionFeeAnomalies,global,0.07898435248329122,0.5022208790219197,0.19550613689377516,0.5010369160056664,-0.04082313563933308,0.5280176285218675,0.630812960934761
ovrbench,TwitterEmotion,local,0.0016331709620405754,0.09730394736539391,0.09275134383039256,0.07174268617541057,0.5669467787114847,-0.684593837535014,0.4366946778711485
ovrbench,BoundingBoxClassification,global,0.3219099686003982,0.2821872975280764,0.368616250615321,0.19956454969259652,0.30587842863615977,0.2578792547975907,0.17775598823364613
ovrbench,FootballEfficiency,local,0.16635356659856168,0.11488159277122478,0.00998927025356855,0.07894034831752661,0.03247313127993678,-0.40414653037429166,0.18812158565625436
oddbench,GeneticVariation,global,0.1826815626779234,0.002087073107786497,0.36287575021478735,0.1661424028168655,0.006052801833352772,0.962414725189857,-0.7160509718110439
tsbad_m,140_CATSv2_id_3_Sensor_tr_28307_1st_2840,global,0.000890090854356762,0.000890090854356762,0.11417153058759888,0.22454505976047429,-0.22084942084942086,0.01621621621621622,0.1778635778635779
adbench,35_SpamBase,global,0.1511612017674293,0.06645685640799592,0.4886066661527776,0.226709645150992,0.04686542380794369,0.35201750507284274,-0.22960102960102963
dami,SpamBase,global,0.07127779293573067,0.07053368001072458,0.5339516895948642,0.34939363203308405,-0.07130632062197059,-0.13218353846793765,0.4064350064350065
tsbad_m,088_SVDB_id_5_Medical_tr_500_1st_168.csv,local,0.18235999646787598,0.18235999646787598,0.0,0.1223665577742025,-0.5875917106448705,-0.6401081220234264,0.8339554640236838
oddbench,ProsperLoan,global,0.01727357783624907,0.09005800746411426,0.027218722240460055,0.07664509020028573,0.485550003915296,-0.011840411840411841,0.31969111969111974
tsbad_m,031_MITDB_id_13_Medical_tr_50000_1st_794,local,0.005560046592627297,0.02416059044877988,0.002976651286634463,0.014296662141050683,-0.1383704466469301,-0.6630196936542669,0.739734843609216
ovrbench,JobChangePatterns,global,0.42208124123167534,0.05852145040288137,0.31821165545310937,0.32104954731364554,-0.45722012054717803,0.3751287332646756,-0.2317198764160659
ovrbench,TrafficSensor,local,0.6523694017305247,0.6289669872609087,0.04001194767990812,0.572538054023378,-0.0725868725868726,0.04761904761904762,0.34543114543114545
ovrbench,PokemonBattle,local,0.21703385736056532,0.25795303939783015,0.00500450954297299,0.17624476507716447,-0.4980392156862746,-0.7467787114845938,0.5257703081232493
tsbad_m,022_MITDB_id_4_Medical_tr_50000_1st_5425,local,0.057004330148496894,0.06780895560493594,0.03373461753512227,0.039178665438633346,0.09443286165147029,-0.26065130647444973,0.36619899600978245
ovrbench,RealEstateListings,local,0.08433549244549358,0.08534733169987954,0.1440009715979066,0.11682988355922001,0.21240989375494837,-0.16190476190476194,-0.08391248391248392
oddbench,BuildingInspections,global,0.15477270077934135,0.31601040081861487,0.18904614220708357,0.2283318407076569,-0.025614622216501483,-0.5968593126528511,0.5412537006049685
tsbad_m,026_MITDB_id_8_Medical_tr_30495_1st_3059,local,0.15927303653364858,0.15884573313119926,0.009531369026063219,0.12364539979480618,-0.3347921225382932,-0.7677950830222678,0.8249452954048139
ovrbench,ViralProteinFunction,local,0.10680872053568216,0.17543871825402912,0.2508512299709335,0.1548335554809344,0.34205194123438504,0.3097322348094748,0.06848609680741503
ovrbench,GeotechnicalAnomalies,local,0.24096149584206905,0.2518670426068719,0.015816394719659385,0.17072295625471165,-0.7461340206185566,-0.5685933383800028,0.8528350515463917
ovrbench,BreastCancer,global,0.04685479428889584,0.04299777297061996,0.0,0.05957163217274464,-0.338548545069167,-0.10634720888351638,0.36405659055890177
tsbad_m,098_SVDB_id_15_Medical_tr_500_1st_303.cs,local,0.17624154283337667,0.19076358518490388,0.02098281668605162,0.10394202378896647,-0.7223700798431153,-0.7901666900126066,0.889620395013307
oddbench,ProtestViolence,global,0.47486861463515057,0.5521958231816417,0.8650689069673555,0.6862827542437402,0.7261311489017239,0.16591581928176083,-0.3453468914918265
ovrbench,UserMovieInteractions,global,0.25706922918917163,0.24399427511245417,0.15428081856687567,0.30633369601363936,0.2056166403249504,0.10955450135838252,0.05378151260504201
ovrbench,Word2VecPCA,global,0.11782032222132863,0.14884443620226945,0.16374650548275752,0.1176476655296633,-0.3305715497191231,-0.09436755732457396,-0.515447991761071
tsbad_m,085_SVDB_id_2_Medical_tr_50000_1st_54982,local,0.14380408233235553,0.17447088542795752,0.002786278459412539,0.13451760762247358,-0.5322435319860985,-0.3901403011970652,0.5667396061269145
ovrbench,TextAnomalyDetection,global,0.10330580799309148,0.12072962817653048,0.030437757314276576,0.0974953699822411,-0.42512956996778256,-0.63552318251856,-0.032357473035439135
ovrbench,BNG(cmc),global,0.21275852354985433,0.25099596666666396,0.31063341532214556,0.27615664834934806,0.025648213034337765,-0.19859845830413453,-0.04050455501051156
oddbench,GlobalTerrorismAttack,global,0.1588234295969419,0.3122669944618507,0.6227314669624484,0.4325760990793517,0.12323022352652488,-0.22461063199897024,-0.8167074269532758
