corpus,dataset,reg_ifr,reg_matched,reg_beta1,reg_em,reg_mv,truefam
ovrbench,jannis,0.05466424609575676,0.0239597486087187,0.1803917761602114,0.0,0.0,global
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,0.1267620809497484,0.0452235246691407,0.0452235246691407,0.0537485790617262,0.0537485790617262,local
ovrbench,AmazonReviewAnomalies,0.18858015896871433,0.0774185049500016,0.0770936838289911,0.0770936838289911,0.1633976560313682,global
ovrbench,sf-police-incidents,0.11826356740534466,0.1075274516081222,0.1075274516081222,0.1075274516081222,0.1075274516081222,local
ovrbench,CreditCustomerData,0.19606230625199622,0.0558221349108119,0.069428300299136,0.176468815419079,0.176468815419079,local
ovrbench,CelestialObjects2,0.14027567121791734,0.1438238878516955,0.2284799046054684,0.1438238878516955,0.1438238878516955,global
oddbench,TBAnomalyDetection,0.10386321663147471,0.0596685949192741,0.2147296279935884,0.077038615723143,0.077038615723143,local
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,0.14595751546630703,0.0231540729699823,0.0231540729699823,0.0079149836725913,0.1436724056552591,local
ovrbench,PsychoPrediction,0.18261839126666773,0.0411483420179866,0.0411483420179866,0.0951807542136144,0.0411483420179866,global
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,0.052605137586760276,0.0117628470968622,0.0117628470968622,0.0105611805140076,0.0116096764248271,local
ovrbench,CustomerChurn2,0.1322884637280241,0.2801886976401918,0.2801886976401918,0.1118589449992665,0.4836246997510814,local
tsbad_m,101_SVDB_id_18_Medical_tr_1851_1st_1951.,0.09688345012928737,0.0510237921195964,0.0510237921195964,0.0510237921195964,0.0550871514895692,local
ovrbench,FinancialMetricsAnomaly,0.06021760085335569,0.0958678037931156,0.0958678037931156,0.1294190541461748,0.1294190541461748,global
ovrbench,CardiacHealth,0.8242058717676658,0.0030992569078435,0.0030992569078435,0.0,0.0,local
ovrbench,SensorAnomaly,0.17331286830785933,0.2061146974610165,0.2061146974610165,0.2530773718884036,0.2061146974610165,local
ovrbench,BCellImmunity,0.2450919167043823,0.1114525268554938,0.1114525268554938,0.176517289005631,0.176517289005631,global
oddbench,HealthPulse,0.0591397679178045,0.0829267298606891,0.0,0.0829267298606891,0.0829267298606891,local
oddbench,PropertyCondition,0.13221905475537235,0.1780846322900924,0.2053982685816069,0.2334999547188566,0.2053982685816069,local
ovrbench,HealthActivityObesity,0.25363155823595973,0.0530328463922018,0.0001021411868015,0.2520168227091593,0.0530328463922018,local
oddbench,TransactionFeeAnomalies,0.21974313690669967,0.1955061368937751,0.1955061368937751,0.8522233489756588,0.0298275344886179,local
ovrbench,TwitterEmotion,0.09525331936488796,0.0367946237403984,0.0927513438303925,0.0927513438303925,0.0927513438303925,local
ovrbench,BoundingBoxClassification,0.1310389446168716,0.1188303715068235,0.368616250615321,0.1188303715068235,0.1188303715068235,global
ovrbench,FootballEfficiency,0.08088289337477239,0.0706531872585269,0.0099892702535685,0.0706531872585269,0.0706531872585269,local
oddbench,GeneticVariation,0.13185798705047563,0.2155218074778623,0.3628757502147873,0.1854329313355248,0.1854329313355248,global
tsbad_m,140_CATSv2_id_3_Sensor_tr_28307_1st_2840,0.5442374252737385,0.1141715305875988,0.1141715305875988,0.513011887173544,0.513011887173544,global
adbench,35_SpamBase,0.030558956315715036,0.4886066661527776,0.4886066661527776,0.0,0.0,global
dami,SpamBase,0.04091035611844229,0.5339516895948642,0.5339516895948642,0.0,0.0,global
tsbad_m,088_SVDB_id_5_Medical_tr_500_1st_168.csv,0.18115829130572658,0.0,0.0,0.0684621155437663,0.0684621155437663,local
oddbench,ProsperLoan,0.03953462782190885,0.0569198309846443,0.0099451444042109,0.0428830672661624,0.0569198309846443,local
tsbad_m,031_MITDB_id_13_Medical_tr_50000_1st_794,0.023167894908311108,0.0029766512866344,0.0029766512866344,0.0032837651068226,0.0032837651068226,local
ovrbench,JobChangePatterns,0.2956572025720296,0.1807774400255177,0.3186736200144506,0.3186736200144506,0.3186736200144506,global
ovrbench,TrafficSensor,0.5799214291746727,0.0400119476799081,0.0400119476799081,0.0562567018248503,0.0562567018248503,local
ovrbench,PokemonBattle,0.17689275308551453,0.0947311441418079,0.0050045095429729,0.0947311441418079,0.0947311441418079,local
tsbad_m,022_MITDB_id_4_Medical_tr_50000_1st_5425,0.03974415318952293,0.0337346175351222,0.0337346175351222,0.0082968699933362,0.0036149401878406,local
