modality,seed,dataset,regret,pick,true_best,best_auc,pick_auc,rand_regret,best_regime,best_regime_regret,category,regret_hard_K30,regret_hard_K50,regret_random_K30,regret_random_K50,regret_smallest_K30,regret_smallest_K50,rho_hard_K30,rho_hard_K50,rho_random_K30,rho_random_K50,rho_smallest_K30,rho_smallest_K50
cv,4,FashionMNIST_5,0.027902116402116484,LOF,CBLOF,0.965915343915344,0.9380132275132275,0.028622574955908475,smallest_K30,0.0,weighting_failure,0.027902116402116484,0.027902116402116484,0.027902116402116484,0.027902116402116484,0.0,0.007637566137566165,0.7,0.5666666666666667,0.6333333333333333,0.7333333333333334,0.75,0.8666666666666667
cv,4,FashionMNIST_6,0.0031984126984125894,LOF,KNN,0.8102063492063492,0.8070079365079366,0.13035626102292752,smallest_K30,0.0,ok,0.0031984126984125894,0.0031984126984125894,0.0031984126984125894,0.0031984126984125894,0.0,0.0,0.7999999999999999,0.5833333333333334,0.6666666666666667,0.8833333333333333,0.9833333333333333,0.9333333333333332
cv,4,FashionMNIST_7,0.0,LOF,LOF,0.9721534391534392,0.9721534391534392,0.017074661963550897,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.0030211640211641466,0.015439153439153586,0.8666666666666667,0.6166666666666666,0.75,0.7999999999999999,0.7333333333333334,-0.39999999999999997
cv,4,FashionMNIST_8,0.0,LOF,LOF,0.9085000000000001,0.9085000000000001,0.14411934156378603,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.013986772486772492,0.013986772486772492,0.7333333333333334,0.7333333333333334,0.8333333333333333,0.8499999999999999,0.08333333333333334,0.5
cv,4,FashionMNIST_9,0.0,LOF,LOF,0.9778941798941798,0.9778941798941798,0.02515667254556131,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.051412698412698354,0.0216666666666665,0.7833333333333333,0.6333333333333333,0.8666666666666667,0.7999999999999999,-0.38333333333333336,0.7666666666666667
nlp,0,20news_0,0.0,LOF,LOF,0.786873840445269,0.786873840445269,0.13492922421493847,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.08642547928262223,0.08642547928262223,0.7333333333333334,0.7666666666666667,0.9,0.7666666666666667,0.7166666666666667,0.2833333333333333
nlp,0,20news_1,0.0,LOF,LOF,0.5524435146443515,0.5524435146443515,0.06327568572756864,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.01641841004184097,0.085071129707113,0.8333333333333333,0.8499999999999999,0.9166666666666666,0.9500000000000001,0.5166666666666667,0.016666666666666666
nlp,0,20news_2,0.0,LOF,LOF,0.5165874363327674,0.5165874363327674,0.04183738917185437,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.0,0.03511035653650246,0.43333333333333335,0.21666666666666667,0.18333333333333335,0.6,0.6166666666666666,0.11666666666666665
nlp,0,20news_3,0.022222222222222143,LOF,KNN,0.6626780626780626,0.6404558404558405,0.02630579297245972,hard_K30,0.022222222222222143,flip,0.022222222222222143,0.022222222222222143,0.022222222222222143,0.022222222222222143,0.04472934472934453,0.04472934472934453,0.5523060897787773,0.3849406080276326,0.5355695416036628,0.35146751167740364,0.03347309635022892,0.03347309635022892
nlp,0,20news_4,0.0,LOF,LOF,0.6101238869531552,0.6101238869531552,0.04479717813051143,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.06008517228029431,0.0,0.5,0.5833333333333334,0.5166666666666667,0.4666666666666666,0.2833333333333333,0.38333333333333336
nlp,0,20news_5,0.0,LOF,LOF,0.5867429704397981,0.5867429704397981,0.03206360650484652,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.06141852919971147,0.06141852919971147,0.13333333333333333,0.15,0.049999999999999996,-0.09999999999999999,-0.35,-0.41666666666666663
nlp,0,agnews_0,0.0,LOF,LOF,0.6834831578947369,0.6834831578947369,0.11832140350877185,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.10936736842105266,0.07236842105263164,0.8166666666666667,0.8499999999999999,0.8166666666666667,0.6333333333333333,0.7166666666666667,0.5833333333333334
nlp,0,agnews_1,0.0,LOF,LOF,0.8248684210526316,0.8248684210526316,0.20655894736842106,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.0,0.16246736842105258,0.8499999999999999,0.8499999999999999,0.6333333333333333,0.65,0.65,0.45
nlp,0,agnews_2,0.0,LOF,LOF,0.7796157894736842,0.7796157894736842,0.11319543859649106,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.0,0.0888199999999999,0.7,0.8333333333333333,0.75,0.7,0.21666666666666667,0.6666666666666667
nlp,0,agnews_3,0.0,LOF,LOF,0.7404557894736842,0.7404557894736842,0.15517637426900588,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.0,0.10194842105263147,0.9,0.9,0.7666666666666667,0.7,0.7166666666666667,0.7666666666666667
nlp,0,amazon,0.023525263157894605,LOF,KNN,0.6111031578947368,0.5875778947368422,0.043241403508771925,hard_K30,0.023525263157894605,flip,0.023525263157894605,0.023525263157894605,0.023525263157894605,0.023525263157894605,0.04125789473684205,0.03737684210526315,0.48333333333333334,0.5,0.39999999999999997,0.8333333333333333,-0.06666666666666667,0.7
nlp,0,imdb,0.0,LOF,LOF,0.5137242105263158,0.5137242105263158,0.022087602339181334,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.02076736842105259,0.0005789473684210122,0.41666666666666663,0.33333333333333337,0.7999999999999999,0.7333333333333334,0.5,0.6666666666666667
nlp,0,yelp,0.002902105263157817,LOF,KNN,0.6897315789473684,0.6868294736842105,0.06209134502923974,hard_K30,0.002902105263157817,ok,0.002902105263157817,0.002902105263157817,0.002902105263157817,0.002902105263157817,0.04145894736842104,0.04145894736842104,0.6833333333333333,0.8333333333333333,0.7666666666666667,0.7666666666666667,0.7166666666666667,0.65
nlp,1,20news_0,0.0,LOF,LOF,0.7769624083399593,0.7769624083399593,0.12782587782587784,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.0,0.08463645198339065,0.9166666666666666,0.9,0.8166666666666667,0.8499999999999999,0.9500000000000001,0.8333333333333333
nlp,1,20news_1,0.0,LOF,LOF,0.5404267782426779,0.5404267782426779,0.04326731752673185,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.010711297071129833,0.010711297071129833,0.8333333333333333,0.7833333333333333,0.6833333333333333,0.8499999999999999,0.6833333333333333,0.5833333333333334
nlp,1,20news_2,0.0,LOF,LOF,0.5182342954159592,0.5182342954159592,0.04570081116770419,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.0698471986417657,0.0,0.3666666666666667,0.65,0.41666666666666663,0.43333333333333335,-0.16666666666666669,0.03333333333333333
nlp,1,20news_3,0.041595441595441485,LOF,CBLOF,0.7330484330484329,0.6914529914529914,0.0396327951883505,smallest_K30,0.0034188034188032956,weighting_failure,0.041595441595441485,0.041595441595441485,0.041595441595441485,0.041595441595441485,0.0034188034188032956,0.0034188034188032956,0.16666666666666669,0.11666666666666665,0.5333333333333333,0.6166666666666666,0.4666666666666666,0.5666666666666667
nlp,1,20news_4,0.0,LOF,LOF,0.5523035230352304,0.5523035230352304,0.03936852066933372,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.057917150600077516,0.057917150600077516,0.5166666666666667,0.4666666666666666,0.38333333333333336,0.5,0.0,-0.4666666666666666
nlp,1,20news_5,0.0,LOF,LOF,0.5737653208363375,0.5737653208363375,0.024903869262196676,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.0,0.044069935111751946,0.65,0.5499999999999999,0.2833333333333333,0.38333333333333336,0.5499999999999999,0.26666666666666666
nlp,1,agnews_0,0.0,LOF,LOF,0.6831368421052632,0.6831368421052632,0.13127602339181277,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.07408315789473685,0.07408315789473685,0.5166666666666667,0.5499999999999999,0.9,0.9833333333333333,0.7833333333333333,0.8833333333333333
nlp,1,agnews_1,0.0,LOF,LOF,0.8281,0.8281,0.20677824561403513,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.22589052631578943,0.1641968421052632,0.9333333333333332,0.9,0.7833333333333333,0.8833333333333333,0.18333333333333335,0.6666666666666667
nlp,1,agnews_2,0.0,LOF,LOF,0.768718947368421,0.768718947368421,0.11643076023391796,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.16193789473684195,0.16193789473684195,0.6,0.75,0.9166666666666666,0.9333333333333332,0.26666666666666666,0.2333333333333333
nlp,1,agnews_3,0.0,LOF,LOF,0.7409978947368421,0.7409978947368421,0.1512342690058479,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.20396421052631575,0.10359052631578947,0.7999999999999999,0.21666666666666667,0.7999999999999999,0.4666666666666666,-0.33333333333333337,0.5666666666666667
nlp,1,amazon,0.009348421052631561,LOF,KNN,0.5887147368421053,0.5793663157894737,0.034903040935672536,smallest_K50,0.0,ok,0.009348421052631561,0.009348421052631561,0.009348421052631561,0.009348421052631561,0.04439789473684219,0.0,0.5499999999999999,0.39999999999999997,0.39999999999999997,0.8666666666666667,-0.33333333333333337,0.45
nlp,1,imdb,0.0,LOF,LOF,0.5263357894736842,0.5263357894736842,0.018219415204678402,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.018928421052631483,0.002152631578947406,0.35,0.2833333333333333,0.5666666666666667,0.6333333333333333,0.33333333333333337,0.39999999999999997
nlp,1,yelp,0.0038863157894737377,LOF,KNN,0.683241052631579,0.6793547368421052,0.059028654970760264,hard_K30,0.0038863157894737377,ok,0.0038863157894737377,0.0038863157894737377,0.049644210526315846,0.0038863157894737377,0.049644210526315846,0.049644210526315846,0.7333333333333334,0.8499999999999999,0.8333333333333333,0.8833333333333333,0.8166666666666667,0.9
nlp,2,20news_0,0.0,LOF,LOF,0.7746709073239687,0.7746709073239687,0.1336665979523124,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.0771821715699269,0.0771821715699269,0.8666666666666667,0.9500000000000001,0.9166666666666666,0.8499999999999999,0.016666666666666666,-0.016666666666666666
nlp,2,20news_1,0.0,LOF,LOF,0.5724769874476987,0.5724769874476987,0.058977219897721866,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.07911297071129703,0.009037656903765567,0.9333333333333332,0.5666666666666667,0.7833333333333333,0.65,-0.26666666666666666,0.35
nlp,2,20news_2,0.0,LOF,LOF,0.5421986417657046,0.5421986417657046,0.05447651386530855,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.0877758913412564,0.0,0.6833333333333333,0.8833333333333333,0.6166666666666666,0.8333333333333333,-0.049999999999999996,0.48333333333333334
nlp,2,20news_3,0.05555555555555569,LOF,CBLOF,0.7148148148148149,0.6592592592592592,0.0545742323520102,hard_K30,0.05555555555555569,flip,0.05555555555555569,0.05555555555555569,0.05555555555555569,0.05555555555555569,0.07264957264957272,0.07264957264957272,0.35,0.2833333333333333,0.049999999999999996,0.09999999999999999,-0.3666666666666667,-0.26666666666666666
nlp,2,20news_4,0.0,LOF,LOF,0.5768099109562524,0.5768099109562524,0.05247558824794596,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.6833333333333333,0.45,0.45,0.15,0.48333333333333334
nlp,2,20news_5,0.0388428262436914,LOF,CBLOF,0.6123377793799567,0.5734949531362653,0.05798385804694384,hard_K30,0.0388428262436914,flip,0.0388428262436914,0.0388428262436914,0.0388428262436914,0.0388428262436914,0.0388428262436914,0.06520367700072105,0.6833333333333333,0.8166666666666667,0.75,0.6833333333333333,0.6333333333333333,0.5333333333333333
nlp,2,agnews_0,0.0,LOF,LOF,0.6819052631578947,0.6819052631578947,0.12014877192982454,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.10655789473684207,0.0,0.8166666666666667,0.5499999999999999,0.8333333333333333,0.8666666666666667,0.5333333333333333,0.7166666666666667
nlp,2,agnews_1,0.0,LOF,LOF,0.8328242105263156,0.8328242105263156,0.21524385964912274,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.164455789473684,0.25821684210526297,0.7666666666666667,0.4666666666666666,0.8666666666666667,0.8833333333333333,0.06666666666666667,0.03333333333333333
nlp,2,agnews_2,0.0,LOF,LOF,0.7693105263157894,0.7693105263157894,0.11099134502923969,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.0,0.16014421052631578,0.8166666666666667,0.9166666666666666,0.6833333333333333,0.9333333333333332,0.7833333333333333,-0.38333333333333336
nlp,2,agnews_3,0.0,LOF,LOF,0.7384,0.7384,0.14768666666666663,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.19856421052631568,0.10121684210526305,0.7166666666666667,0.9,0.7,0.6333333333333333,-0.11666666666666665,0.41666666666666663
nlp,2,amazon,0.0201315789473685,LOF,KNN,0.6027547368421053,0.5826231578947368,0.03300619883040945,smallest_K30,0.0,weighting_failure,0.0201315789473685,0.0201315789473685,0.0201315789473685,0.0201315789473685,0.0,0.04161789473684219,0.6666666666666667,0.5333333333333333,0.7999999999999999,0.7666666666666667,0.5666666666666667,-0.016666666666666666
nlp,2,imdb,0.006721052631579072,LOF,COPOD,0.5132178947368422,0.5064968421052631,0.01814619883040941,hard_K30,0.006721052631579072,ok,0.006721052631579072,0.006721052631579072,0.006721052631579072,0.006721052631579072,0.015991578947368468,0.015991578947368468,-0.09999999999999999,0.25,0.11666666666666665,0.5166666666666667,0.5166666666666667,0.5499999999999999
nlp,2,yelp,0.0,LOF,LOF,0.6817105263157894,0.6817105263157894,0.06116608187134487,hard_K30,0.0,ok,0.0,0.0,0.05689473684210522,0.0,0.07856315789473678,0.002798947368421123,0.7999999999999999,0.7,0.7999999999999999,0.65,-0.15,0.7999999999999999
nlp,3,20news_0,0.0,LOF,LOF,0.7911807580174927,0.7911807580174927,0.14387681479518222,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.09174838766675497,0.09174838766675497,0.8833333333333333,0.7999999999999999,0.7833333333333333,0.7833333333333333,0.7666666666666667,0.7999999999999999
nlp,3,20news_1,0.0,LOF,LOF,0.5689707112970711,0.5689707112970711,0.0874012087401208,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.11789121338912134,0.015564853556485403,0.7833333333333333,0.9666666666666667,0.7999999999999999,0.9333333333333332,0.5833333333333334,0.5666666666666667
nlp,3,20news_2,0.0,LOF,LOF,0.531893039049236,0.531893039049236,0.05315034899075649,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.04514431239388794,0.07981324278438034,0.5833333333333334,0.5833333333333334,0.4666666666666666,0.38333333333333336,0.0,-0.18333333333333335
nlp,3,20news_3,0.017378917378917502,LOF,LODA,0.7014245014245015,0.684045584045584,0.03434631212409012,hard_K30,0.017378917378917502,flip,0.017378917378917502,0.017378917378917502,0.017378917378917502,0.017378917378917502,0.017378917378917502,0.017378917378917502,0.48333333333333334,0.6166666666666666,0.0,0.31666666666666665,0.65,0.39999999999999997
nlp,3,20news_4,0.02144792876500201,LOF,LODA,0.590572977158343,0.569125048393341,0.03271820019787497,hard_K30,0.02144792876500201,flip,0.02144792876500201,0.02144792876500201,0.02144792876500201,0.02144792876500201,0.06426635694928373,0.06426635694928373,0.41666666666666663,0.31666666666666665,0.38333333333333336,-0.21666666666666667,-0.3666666666666667,-0.16666666666666669
nlp,3,20news_5,0.006759192501802236,LOF,IForest,0.5706110310021628,0.5638518385003606,0.028724064728029908,hard_K30,0.006759192501802236,ok,0.006759192501802236,0.006759192501802236,0.006759192501802236,0.006759192501802236,0.03622927180966096,0.03622927180966096,0.08333333333333334,0.13333333333333333,0.19999999999999998,0.08333333333333334,-0.21666666666666667,-0.16666666666666669
nlp,3,agnews_0,0.0,LOF,LOF,0.6677631578947367,0.6677631578947367,0.11168467836257301,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.13929684210526305,0.0881947368421051,0.7999999999999999,0.39999999999999997,0.7833333333333333,0.9333333333333332,0.5166666666666667,0.39999999999999997
nlp,3,agnews_1,0.0,LOF,LOF,0.8224884210526315,0.8224884210526315,0.2101360233918127,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.2444747368421052,0.15861684210526306,0.7666666666666667,0.6666666666666667,0.9500000000000001,0.9666666666666667,-0.049999999999999996,0.3666666666666667
nlp,3,agnews_2,0.0,LOF,LOF,0.7676,0.7676,0.11893169590643271,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.0877526315789473,0.036926315789473585,0.8499999999999999,0.6666666666666667,0.8166666666666667,0.8333333333333333,0.21666666666666667,0.65
nlp,3,agnews_3,0.0,LOF,LOF,0.7474315789473683,0.7474315789473683,0.16721146198830394,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.1140021052631578,0.0,0.7999999999999999,0.8499999999999999,0.6666666666666667,0.7999999999999999,0.6,0.8833333333333333
