dataset,status,n,d,rate,seed,regret,random_regret,best_regret_possible,pick,max_regime_var,score_json,true_auc_json,regime_var_json
BaseballPitchingAnomalies.npz,ok,1576,38,0.1726,0.0,0.0,0.2376148016677937,0.0,IForest,0.002794041591057324,"{""CBLOF"": 4.8904356096801695, ""COPOD"": 5.034720102931642, ""ECOD"": 4.301851766195916, ""HBOS"": 5.97075222011938, ""IForest"": 6.18876047754715, ""KNN"": 5.889781488306865, ""LODA"": 3.190609597796626, ""LOF"": 6.17646139288496}","{""IForest"": 0.9307527608744648, ""LOF"": 0.5042821726391706, ""KNN"": 0.5199881676808654, ""ECOD"": 0.734787018255578, ""COPOD"": 0.8287835249042146, ""HBOS"": 0.8119083840432725, ""CBLOF"": 0.48323754789272033, ""LODA"": 0.7313640973630832}","{""smallest_K30"": 0.002794041591057324, ""random_K30"": 0.000295092439157244, ""hard_K30"": 0.001295086876157215, ""smallest_K50"": 0.00184585322688463, ""random_K50"": 0.00029225737801177166, ""hard_K50"": 0.0017862971386305626}"
BaseballPitchingAnomalies.npz,ok,1576,38,0.1726,1.0,0.4289074825332432,0.2627813697318008,0.0,LOF,0.0031583663120101765,"{""CBLOF"": 6.400207311366752, ""COPOD"": 3.2618370181928547, ""ECOD"": 3.2954856096178475, ""HBOS"": 6.006459886312174, ""IForest"": 5.541718255077164, ""KNN"": 6.6564101818134445, ""LODA"": 4.443783531791781, ""LOF"": 7.973215187907144}","{""IForest"": 0.9459798287130945, ""LOF"": 0.5170723461798513, ""KNN"": 0.5199036511156186, ""ECOD"": 0.7238421230561191, ""COPOD"": 0.8258677034032005, ""HBOS"": 0.8210220869957179, ""CBLOF"": 0.4810823754789272, ""LODA"": 0.6308175569078206}","{""smallest_K30"": 0.0003245400719984766, ""random_K30"": 0.0025057690406274794, ""hard_K30"": 0.0008754994251209903, ""smallest_K50"": 0.00037806100959380596, ""random_K50"": 0.00028611782035011164, ""hard_K50"": 0.0031583663120101765}"
BaseballPitchingAnomalies.npz,ok,1576,38,0.1726,2.0,0.41138438133874233,0.2524175259184134,0.0,KNN,0.017452870393247243,"{""CBLOF"": 2.3611832148181984, ""COPOD"": 2.0745917271057204, ""ECOD"": 3.1853830590487253, ""HBOS"": 4.913260368748743, ""IForest"": 6.938142444898375, ""KNN"": 7.216461338760034, ""LODA"": 5.8464885469286, ""LOF"": 5.076144027567679}","{""IForest"": 0.9213009916610322, ""LOF"": 0.495886860491323, ""KNN"": 0.5099166103222899, ""ECOD"": 0.7169399368942979, ""COPOD"": 0.8284313725490196, ""HBOS"": 0.8284172864548118, ""CBLOF"": 0.4929287807076853, ""LODA"": 0.5572458868604914}","{""smallest_K30"": 0.0003848868006714404, ""random_K30"": 0.017452870393247243, ""hard_K30"": 0.0011028881497513886, ""smallest_K50"": 0.0002533513183837435, ""random_K50"": 0.0009076183530147982, ""hard_K50"": 0.0028194913941458717}"
CallRecordOutcomes.npz,ok,1143,5,0.007,0.0,0.014317180616740144,0.2079662261380324,0.0,IForest,0.01806582107638428,"{""CBLOF"": 2.378105374162894, ""COPOD"": 6.182506554240817, ""ECOD"": 5.215699883948285, ""HBOS"": 7.095668678408922, ""IForest"": 8.674832019784624, ""KNN"": 1.3858593946559261, ""LODA"": 4.772996135803589, ""LOF"": 2.828147424047621, ""PCA"": 6.4661845349473195}","{""IForest"": 0.9757709251101322, ""LOF"": 0.4790748898678414, ""KNN"": 0.43502202643171806, ""ECOD"": 0.933920704845815, ""COPOD"": 0.9553964757709251, ""HBOS"": 0.9900881057268723, ""PCA"": 0.9311674008810573, ""CBLOF"": 0.5501101321585903, ""LODA"": 0.788546255506608}","{""smallest_K30"": 0.01806582107638428, ""random_K30"": 0.0007352416151185358, ""hard_K30"": 0.004728483422070377, ""smallest_K50"": 0.017765320354767113, ""random_K50"": 0.001356311591781221, ""hard_K50"": 0.0016493860350267927}"
CallRecordOutcomes.npz,ok,1143,5,0.007,1.0,0.024779735682819437,0.22283406754772406,0.0,IForest,0.02841574576647614,"{""CBLOF"": 2.3285282077164764, ""COPOD"": 5.722067735721065, ""ECOD"": 4.8102577809711775, ""HBOS"": 7.544748448218466, ""IForest"": 8.587728730949456, ""KNN"": 1.3581901969962094, ""LODA"": 4.15103953800861, ""LOF"": 3.2638545160351105, ""PCA"": 7.233584845383426}","{""IForest"": 0.9592511013215859, ""LOF"": 0.45044052863436124, ""KNN"": 0.41079295154185025, ""ECOD"": 0.9080396475770924, ""COPOD"": 0.9196035242290748, ""HBOS"": 0.9840308370044053, ""PCA"": 0.9174008810572687, ""CBLOF"": 0.5055066079295154, ""LODA"": 0.795704845814978}","{""smallest_K30"": 0.02841574576647614, ""random_K30"": 0.0006529083357167712, ""hard_K30"": 0.0017774734027401064, ""smallest_K50"": 0.0166840688004479, ""random_K50"": 0.0019228027025765854, ""hard_K50"": 0.0007444785201542458}"
CallRecordOutcomes.npz,ok,1143,5,0.007,2.0,0.0534140969162995,0.20814977973568272,0.0,PCA,0.03520237459024364,"{""CBLOF"": 2.687440591877066, ""COPOD"": 6.684303990505679, ""ECOD"": 5.396129317695957, ""HBOS"": 5.405698340427785, ""IForest"": 8.46477648062531, ""KNN"": 2.0069137439675764, ""LODA"": 4.176029280131553, ""LOF"": 1.6871382461068116, ""PCA"": 8.491570008662267}","{""IForest"": 0.9526431718061674, ""LOF"": 0.5231277533039648, ""KNN"": 0.4025330396475771, ""ECOD"": 0.888215859030837, ""COPOD"": 0.9218061674008812, ""HBOS"": 0.9845814977973568, ""PCA"": 0.9311674008810573, ""CBLOF"": 0.5297356828193833, ""LODA"": 0.8540748898678415}","{""smallest_K30"": 0.03520237459024364, ""random_K30"": 0.002067101720788825, ""hard_K30"": 0.0011109441200021029, ""smallest_K50"": 0.02739303764171043, ""random_K50"": 0.0009175202110428034, ""hard_K50"": 0.0007946487370236776}"
PlanetaryEmissions.npz,ok,1744,3,0.2907,0.0,0.04155134567665586,0.03896082090871167,0.0,LOF,0.029880435776723488,"{""CBLOF"": 6.74960005576351, ""COPOD"": 2.620630867534257, ""ECOD"": 2.3134499262350845, ""HBOS"": 4.879548740986875, ""IForest"": 5.679791264931182, ""KNN"": 8.039769122489322, ""LODA"": 3.1676570014438155, ""LOF"": 8.96023087751068, ""PCA"": 2.5893221431052775}","{""IForest"": 0.6706313227715213, ""LOF"": 0.6290799770948654, ""KNN"": 0.6669052618184133, ""ECOD"": 0.6395702105999872, ""COPOD"": 0.6421629445822995, ""HBOS"": 0.6195123115098302, ""PCA"": 0.6156232105363619, ""CBLOF"": 0.5880972831965388, ""LODA"": 0.6134519946554686}","{""smallest_K30"": 0.004600489910617074, ""random_K30"": 0.029880435776723488, ""hard_K30"": 0.02886018318488018, ""smallest_K50"": 0.010564292187412786, ""random_K50"": 0.015671288637145744, ""hard_K50"": 0.02610325551328788}"
PlanetaryEmissions.npz,ok,1744,3,0.2907,1.0,0.015759209772857385,0.033390949644051204,0.0,LOF,0.026327508075613876,"{""CBLOF"": 7.0, ""COPOD"": 2.6082192740218377, ""ECOD"": 2.43445288280173, ""HBOS"": 4.84681604954166, ""IForest"": 5.418652367478013, ""KNN"": 8.102394791074616, ""LODA"": 3.553095061515493, ""LOF"": 8.897605208925384, ""PCA"": 2.1387643646412666}","{""IForest"": 0.6264713367691036, ""LOF"": 0.6177347776293186, ""KNN"": 0.633493987402176, ""ECOD"": 0.6075547178214673, ""COPOD"": 0.6086244194184641, ""HBOS"": 0.5957919768403639, ""PCA"": 0.5722466119488452, ""CBLOF"": 0.578489851752879, ""LODA"": 0.5605196602405039}","{""smallest_K30"": 0.011414016205625828, ""random_K30"": 0.022522190526779735, ""hard_K30"": 0.026327508075613876, ""smallest_K50"": 0.01081805133841177, ""random_K50"": 0.0159746009325259, ""hard_K50"": 0.02441430526518874}"
PlanetaryEmissions.npz,ok,1744,3,0.2907,2.0,0.0505384297257746,0.042997939244837524,0.0,LOF,0.031278374878074944,"{""CBLOF"": 6.923524653231882, ""COPOD"": 2.788825632143664, ""ECOD"": 2.131328824695707, ""HBOS"": 4.929700600558026, ""IForest"": 5.670136978028714, ""KNN"": 8.0, ""LODA"": 3.038605482562322, ""LOF"": 9.000000000000002, ""PCA"": 2.5178778287796892}","{""IForest"": 0.6754509448368009, ""LOF"": 0.6249125151110263, ""KNN"": 0.6649010625437424, ""ECOD"": 0.6466684163644462, ""COPOD"": 0.6496866450340396, ""HBOS"": 0.6481755424063116, ""PCA"": 0.5981978112871413, ""CBLOF"": 0.5945552586371445, ""LODA"": 0.5895288541070178}","{""smallest_K30"": 0.007149688999129006, ""random_K30"": 0.020182482699008995, ""hard_K30"": 0.022121518041690928, ""smallest_K50"": 0.008326807869627764, ""random_K50"": 0.019823378087619095, ""hard_K50"": 0.031278374878074944}"
DisasterIncidentType.npz,filtered,56981,4,0.0001,,,,,,,,,
LoanCreditScore.npz,filtered,102617,5,0.0445,,,,,,,,,
RxJavaPackage.npz,ok,1671,4,0.0138,0.0,0.22891963109354418,0.3473063973063973,0.0,IForest,0.01664108098449293,"{""CBLOF"": 3.4231271535987187, ""COPOD"": 5.237445531473419, ""ECOD"": 3.8641327354599095, ""HBOS"": 6.74188501666252, ""IForest"": 7.2762503888554635, ""KNN"": 4.9584150148824175, ""LODA"": 4.700617252553483, ""LOF"": 5.145466959049024, ""PCA"": 3.6526599474650467}","{""IForest"": 0.6181159420289855, ""LOF"": 0.7389986824769433, ""KNN"": 0.05177865612648219, ""ECOD"": 0.8470355731225296, ""COPOD"": 0.6372859025032938, ""HBOS"": 0.2852437417654809, ""PCA"": 0.7050065876152832, ""CBLOF"": 0.37602108036890647, ""LODA"": 0.2380764163372859}","{""smallest_K30"": 0.01664108098449293, ""random_K30"": 0.00175473390744904, ""hard_K30"": 0.011551069234722057, ""smallest_K50"": 0.010368163253547372, ""random_K50"": 0.0021560882851380772, ""hard_K50"": 0.008251433136802483}"
RxJavaPackage.npz,ok,1671,4,0.0138,1.0,0.06192358366271411,0.29860196164544006,0.0,LOF,0.010954049460235916,"{""CBLOF"": 5.209181048986401, ""COPOD"": 3.3206236070988195, ""ECOD"": 2.9343390135130507, ""HBOS"": 5.998884204409719, ""IForest"": 5.685599431733177, ""KNN"": 6.194266855871348, ""LODA"": 5.068181983686858, ""LOF"": 6.459511492185331, ""PCA"": 4.1294123625153025}","{""IForest"": 0.6739789196310935, ""LOF"": 0.7659420289855073, ""KNN"": 0.055599472990777325, ""ECOD"": 0.8278656126482214, ""COPOD"": 0.6387351778656127, ""HBOS"": 0.2875494071146245, ""PCA"": 0.7772068511198946, ""CBLOF"": 0.4304347826086956, ""LODA"": 0.30606060606060603}","{""smallest_K30"": 0.006764049128102928, ""random_K30"": 0.0015661852871047004, ""hard_K30"": 0.010954049460235916, ""smallest_K50"": 0.00259052504623209, ""random_K50"": 0.0007293648234273207, ""hard_K50"": 0.0072310389821730325}"
