dataset,status,n,d,rate,seed,regret,random_regret,best_regret_possible,pick,max_regime_var,score_json,true_auc_json,regime_var_json
EpidemiologyCases.npz,ok,4835,4,0.006,1.0,0.12565416875761692,0.036386519145139795,0.0,LOF,0.018909215029713232,"{""CBLOF"": 5.661055802549659, ""COPOD"": 2.141310628179952, ""ECOD"": 1.7213859624428225, ""HBOS"": 6.130417674648792, ""IForest"": 5.367156820893605, ""KNN"": 8.134857688924436, ""LODA"": 2.901045082313255, ""LOF"": 8.774153807286348, ""PCA"": 4.168616532761131}","{""IForest"": 0.9201376442755754, ""LOF"": 0.8163309197791957, ""KNN"": 0.9419850885368126, ""ECOD"": 0.9315004659832246, ""COPOD"": 0.9408201304753029, ""HBOS"": 0.9339020718331064, ""PCA"": 0.9009247974765217, ""CBLOF"": 0.8725715105025449, ""LODA"": 0.8922144956627716}","{""smallest_K30"": 0.00312705953438883, ""random_K30"": 0.012630475721368844, ""hard_K30"": 0.018909215029713232, ""smallest_K50"": 0.00648579332889034, ""random_K50"": 0.011679675574772756, ""hard_K50"": 0.018449240102857426}"
EpidemiologyCases.npz,ok,4835,4,0.006,2.0,0.10084952326331642,0.042960068822137654,0.0,LOF,0.021678468820546165,"{""CBLOF"": 5.621955055024154, ""COPOD"": 1.857121357531367, ""ECOD"": 2.3869381921802155, ""HBOS"": 6.822029743106879, ""IForest"": 5.045978064682334, ""KNN"": 8.055451957516613, ""LODA"": 2.463608934123466, ""LOF"": 8.944548042483389, ""PCA"": 3.8023686533515857}","{""IForest"": 0.9205319377733171, ""LOF"": 0.8502760054484192, ""KNN"": 0.9511255287117356, ""ECOD"": 0.9312495519392071, ""COPOD"": 0.9427199082371498, ""HBOS"": 0.94038999211413, ""PCA"": 0.8988099505340885, ""CBLOF"": 0.8251129113198079, ""LODA"": 0.9132733529285253}","{""smallest_K30"": 0.004070391209329917, ""random_K30"": 0.011478031994560198, ""hard_K30"": 0.016310359445832662, ""smallest_K50"": 0.0036845297651762286, ""random_K50"": 0.00922365965043087, ""hard_K50"": 0.021678468820546165}"
BusStopPrior.npz,ok,5225,6,0.0113,0.0,0.059551519522669905,0.03791635248991898,0.0,LOF,0.04060004163931982,"{""CBLOF"": 4.4476249634361436, ""COPOD"": 2.503697165564876, ""ECOD"": 2.437412996350157, ""HBOS"": 6.064049350587893, ""IForest"": 6.465966484203818, ""KNN"": 8.129330735892637, ""LODA"": 3.1315449048584068, ""LOF"": 8.870669264107363}","{""IForest"": 0.6513129856079729, ""LOF"": 0.5925318821099564, ""KNN"": 0.6520834016326263, ""ECOD"": 0.6287414352686622, ""COPOD"": 0.5843031832934465, ""HBOS"": 0.6326508867980198, ""CBLOF"": 0.6051208077893978, ""LODA"": 0.5665918106415763}","{""smallest_K30"": 0.009282921320608966, ""random_K30"": 0.024627824765989605, ""hard_K30"": 0.04060004163931982, ""smallest_K50"": 0.007760686625811495, ""random_K50"": 0.01973508460250395, ""hard_K50"": 0.029776561498811537}"
BusStopPrior.npz,ok,5225,6,0.0113,1.0,0.06889486280038026,0.07252872668262134,0.0,LOF,0.03324110093416308,"{""CBLOF"": 4.738110913663489, ""COPOD"": 2.2217348142503197, ""ECOD"": 1.737852709410582, ""HBOS"": 6.036675457701712, ""IForest"": 6.257139295109776, ""KNN"": 8.141544601794328, ""LODA"": 3.381310842757859, ""LOF"": 8.8221762524178}","{""IForest"": 0.614398583745861, ""LOF"": 0.6023178048060847, ""KNN"": 0.6712126676064649, ""ECOD"": 0.611300527816936, ""COPOD"": 0.5691407402550569, ""HBOS"": 0.587950365537816, ""CBLOF"": 0.5717962167655641, ""LODA"": 0.5613546208569649}","{""smallest_K30"": 0.004178719888231325, ""random_K30"": 0.013559339148030992, ""hard_K30"": 0.03324110093416308, ""smallest_K50"": 0.01212473019982114, ""random_K50"": 0.023827474897465173, ""hard_K50"": 0.02825105716088256}"
BusStopPrior.npz,ok,5225,6,0.0113,2.0,0.09018785037537302,0.051388388027407306,0.0,LOF,0.03867243392409252,"{""CBLOF"": 4.610013345852733, ""COPOD"": 3.0850952185129983, ""ECOD"": 2.4546536660403317, ""HBOS"": 5.820954349849118, ""IForest"": 6.575915086952525, ""KNN"": 8.121261420912194, ""LODA"": 3.254874098914653, ""LOF"": 8.757477158175615}","{""IForest"": 0.6476658033636036, ""LOF"": 0.5789102711208733, ""KNN"": 0.6690981214962464, ""ECOD"": 0.6342982657443531, ""COPOD"": 0.5882700062288956, ""HBOS"": 0.6349621348719798, ""CBLOF"": 0.603301314624791, ""LODA"": 0.5851719502999705}","{""smallest_K30"": 0.007986746848448094, ""random_K30"": 0.02443374460679605, ""hard_K30"": 0.03867243392409252, ""smallest_K50"": 0.007866720247292546, ""random_K50"": 0.019519166698483307, ""hard_K50"": 0.03225911715387926}"
PsychologicalTrialValidity.npz,ok,16128,5,0.25,0.0,0.0013541974124359202,0.24945295223805775,0.0,KNN,0.02534050317353341,"{""COPOD"": 1.537410414605294, ""ECOD"": 1.9673016039058617, ""HBOS"": 4.4698484046738525, ""IForest"": 6.197093778105764, ""KNN"": 9.0, ""LODA"": 4.132309074932793, ""LOF"": 8.0}","{""IForest"": 0.6598696481864095, ""LOF"": 0.9444589974419519, ""KNN"": 0.943104800029516, ""ECOD"": 0.5715969557588876, ""COPOD"": 0.5762354162567231, ""HBOS"": 0.5288365595894006, ""LODA"": 0.640939939164371}","{""smallest_K30"": 0.012224828360937835, ""random_K30"": 0.02294623195585775, ""hard_K30"": 0.024910296698565003, ""smallest_K50"": 0.018745835979154087, ""random_K50"": 0.01855838604989445, ""hard_K50"": 0.02534050317353341}"
PsychologicalTrialValidity.npz,ok,16128,5,0.25,1.0,0.0009359012199919858,0.24990294585465034,0.0,KNN,0.0418261700996848,"{""COPOD"": 2.20470077078747, ""ECOD"": 2.567576497806724, ""HBOS"": 4.717700866631267, ""IForest"": 6.0497831713699215, ""KNN"": 9.0, ""LODA"": 4.215240218778298, ""LOF"": 8.0}","{""IForest"": 0.6274157975862521, ""LOF"": 0.9457346394136166, ""KNN"": 0.9447987381936246, ""ECOD"": 0.5815233811327561, ""COPOD"": 0.5900229978354978, ""HBOS"": 0.5340362328643579, ""LODA"": 0.6472900678866589}","{""smallest_K30"": 0.019950444768903383, ""random_K30"": 0.019586448325696167, ""hard_K30"": 0.0418261700996848, ""smallest_K50"": 0.01627494620525831, ""random_K50"": 0.01753633809815687, ""hard_K50"": 0.024565323318891226}"
PsychologicalTrialValidity.npz,ok,16128,5,0.25,2.0,0.0025765467171715573,0.24698875202629256,0.0,KNN,0.03993432631872331,"{""COPOD"": 1.7322525649880138, ""ECOD"": 2.086471297772914, ""HBOS"": 4.328555465730661, ""IForest"": 5.997643351852382, ""KNN"": 9.0, ""LODA"": 4.376010295621663, ""LOF"": 8.0}","{""IForest"": 0.6829922602649875, ""LOF"": 0.946265516364948, ""KNN"": 0.9436889696477765, ""ECOD"": 0.5723410546208842, ""COPOD"": 0.58232533328414, ""HBOS"": 0.5423084846025187, ""LODA"": 0.6250157315853339}","{""smallest_K30"": 0.01933786425075975, ""random_K30"": 0.021723840994806332, ""hard_K30"": 0.03993432631872331, ""smallest_K50"": 0.020253590161672864, ""random_K50"": 0.01927419801069656, ""hard_K50"": 0.02496752424578909}"
RealEstateProperties.npz,ok,9756,4,0.0222,0.0,0.015033716874861103,0.07955038262910041,0.0,IForest,0.00543421881378623,"{""CBLOF"": 4.252412204501306, ""COPOD"": 4.308473808208099, ""ECOD"": 3.9216908063933458, ""HBOS"": 3.6587544097133926, ""IForest"": 8.469036163560014, ""KNN"": 6.544055974976474, ""LODA"": 4.404911175410959, ""LOF"": 4.562479149349755, ""PCA"": 4.878186307886656}","{""IForest"": 0.8294037233477282, ""LOF"": 0.552357765991363, ""KNN"": 0.818122095663179, ""ECOD"": 0.7613794452656292, ""COPOD"": 0.8444374402225893, ""HBOS"": 0.7209131573099924, ""PCA"": 0.7612973268025002, ""CBLOF"": 0.7801990648156198, ""LODA"": 0.8158734989227991}","{""smallest_K30"": 0.005005085427703505, ""random_K30"": 0.0023710598404503725, ""hard_K30"": 0.0028978668471540603, ""smallest_K50"": 0.00543421881378623, ""random_K50"": 0.000693879874551346, ""hard_K50"": 0.003955696241528168}"
RealEstateProperties.npz,ok,9756,4,0.0222,1.0,0.024430242780821176,0.08279043904931527,0.0,IForest,0.008785959433867722,"{""CBLOF"": 2.832776144238141, ""COPOD"": 5.551684299462709, ""ECOD"": 4.150552945036148, ""HBOS"": 3.844646828119716, ""IForest"": 8.718494621972305, ""KNN"": 5.291514375967166, ""LODA"": 5.297125021346224, ""LOF"": 4.1378736953212005, ""PCA"": 5.175332068536389}","{""IForest"": 0.8251057879025012, ""LOF"": 0.5447581852785748, ""KNN"": 0.8242773575244665, ""ECOD"": 0.7669659160073037, ""COPOD"": 0.8495360306833224, ""HBOS"": 0.7233235757277144, ""PCA"": 0.7616716903844111, ""CBLOF"": 0.7802280478026067, ""LODA"": 0.8248437333951637}","{""smallest_K30"": 0.008785959433867722, ""random_K30"": 0.0018273168132925109, ""hard_K30"": 0.004020923359235841, ""smallest_K50"": 0.007178925437926271, ""random_K50"": 0.0015856758856079168, ""hard_K50"": 0.0035713070960715866}"
RealEstateProperties.npz,ok,9756,4,0.0222,2.0,0.01897057260721291,0.09846688049670416,0.0,IForest,0.005123700197927199,"{""CBLOF"": 3.1844379084540537, ""COPOD"": 4.419541633612426, ""ECOD"": 3.4242353319966488, ""HBOS"": 5.3877439381386605, ""IForest"": 8.515729417349611, ""KNN"": 6.355402278003549, ""LODA"": 5.687681676162379, ""LOF"": 4.583120960810352, ""PCA"": 3.4421068554723204}","{""IForest"": 0.8344238182187057, ""LOF"": 0.5449091383357969, ""KNN"": 0.8265778821165309, ""ECOD"": 0.7701238539643895, ""COPOD"": 0.8533943908259186, ""HBOS"": 0.5885889149735771, ""PCA"": 0.7647378488827059, ""CBLOF"": 0.7685877556540976, ""LODA"": 0.8430039899912085}","{""smallest_K30"": 0.005123700197927199, ""random_K30"": 0.0024254120509045363, ""hard_K30"": 0.004733381427221635, ""smallest_K50"": 0.003375181863285299, ""random_K50"": 0.002925652973333799, ""hard_K50"": 0.0028144719303880078}"
WeatherUVIndex.npz,ok,7910,34,0.0066,0.0,0.0,0.10486920839974279,0.0,KNN,0.05361248622483577,"{""COPOD"": 2.3215228429996957, ""ECOD"": 2.092456942128571, ""HBOS"": 4.323688755838142, ""IForest"": 5.575584709365831, ""KNN"": 9.0, ""LODA"": 4.0344521782262515, ""LOF"": 8.0}","{""IForest"": 0.8258832452534742, ""LOF"": 0.9845370914073204, ""KNN"": 0.9865922881190057, ""ECOD"": 0.8635863182618907, ""COPOD"": 0.8780460951262478, ""HBOS"": 0.7158935212370328, ""LODA"": 0.9175229986298689}","{""smallest_K30"": 0.008519503079048014, ""random_K30"": 0.0360540499039368, ""hard_K30"": 0.05361248622483577, ""smallest_K50"": 0.0101026505744999, ""random_K50"": 0.02956315510646505, ""hard_K50"": 0.043545155636249576}"
WeatherUVIndex.npz,ok,7910,34,0.0066,1.0,0.0,0.08747583920532398,0.0,KNN,0.05093252671459472,"{""COPOD"": 2.6132112154543425, ""ECOD"": 1.4529743496470473, ""HBOS"": 4.9919533152191065, ""IForest"": 5.323562350651425, ""KNN"": 9.0, ""LODA"": 3.911068606030199, ""LOF"": 8.0, ""PCA"": 3.3348225969800867}","{""IForest"": 0.8614454883538852, ""LOF"": 0.9860295556860443, ""KNN"": 0.9883783519279703, ""ECOD"": 0.8655069485222157, ""COPOD"": 0.8841138187512234, ""HBOS"": 0.7298150322959482, ""PCA"": 0.9853200234879624, ""LODA"": 0.9066108827559209}","{""smallest_K30"": 0.011317313475360058, ""random_K30"": 0.023491522353134123, ""hard_K30"": 0.05093252671459472, ""smallest_K50"": 0.010466076758126278, ""random_K50"": 0.02972848114201715, ""hard_K50"": 0.04896769843592356}"
WeatherUVIndex.npz,ok,7910,34,0.0066,2.0,0.0,0.09973995470178665,0.0,KNN,0.05335776074186011,"{""COPOD"": 2.1118449634132896, ""ECOD"": 2.323376580197584, ""HBOS"": 4.229142640686644, ""IForest"": 6.084708660952741, ""KNN"": 9.0, ""LODA"": 3.5971512988817125, ""LOF"": 8.0}","{""IForest"": 0.8649931493442944, ""LOF"": 0.9788119005676259, ""KNN"": 0.9840966921119593, ""ECOD"": 0.8548884321785085, ""COPOD"": 0.8759541984732824, ""HBOS"": 0.720713446858485, ""LODA"": 0.9110393423370522}","{""smallest_K30"": 0.013557118393564117, ""random_K30"": 0.020263593124136777, ""hard_K30"": 0.0456024860660976, ""smallest_K50"": 0.017374298831829837, ""random_K50"": 0.022598318149155534, ""hard_K50"": 0.05335776074186011}"
SatelliteAnomaly.npz,ok,5100,36,0.0147,0.0,0.0,0.04507610097659842,0.0,LOF,0.03678969098132199,"{""CBLOF"": 6.898072404172845, ""COPOD"": 2.0186011149090324, ""ECOD"": 1.834075496263762, ""HBOS"": 5.99641568810323, ""IForest"": 5.569505418013897, ""KNN"": 7.8793825434283065, ""LODA"": 3.434078893882873, ""LOF"": 8.656623946281723, ""PCA"": 2.7132444949443326}","{""IForest"": 0.9494262023217248, ""LOF"": 0.979542288557214, ""KNN"": 0.9790978441127696, ""ECOD"": 0.8758076285240465, ""COPOD"": 0.9053134328358209, ""HBOS"": 0.9104742951907131, ""PCA"": 0.8919933665008293, ""CBLOF"": 0.9614593698175788, ""LODA"": 0.9570812603648424}","{""smallest_K30"": 0.03678969098132199, ""random_K30"": 0.017178524300751265, ""hard_K30"": 0.02006984395156914, ""smallest_K50"": 0.03209636630218553, ""random_K50"": 0.0053856535995544545, ""hard_K50"": 0.009437606436322942}"
SatelliteAnomaly.npz,ok,5100,36,0.0147,1.0,0.0,0.04735728763589475,0.0,LOF,0.04941141772163981,"{""CBLOF"": 7.3818268252541195, ""COPOD"": 2.0070889917873718, ""ECOD"": 1.6415178136759816, ""HBOS"": 6.012018090861495, ""IForest"": 5.5571121526496166, ""KNN"": 7.766844053097695, ""LODA"": 3.3886669259757047, ""LOF"": 8.282198878137072, ""PCA"": 2.9627262685609406}","{""IForest"": 0.9452470978441128, ""LOF"": 0.9758540630182422, ""KNN"": 0.9737446102819236, ""ECOD"": 0.8746268656716417, ""COPOD"": 0.9060298507462687, ""HBOS"": 0.9139635157545606, ""PCA"": 0.8928557213930349, ""CBLOF"": 0.9546135986733002, ""LODA"": 0.9195356550580431}","{""smallest_K30"": 0.04941141772163981, ""random_K30"": 0.02053670513914181, ""hard_K30"": 0.02309872933598664, ""smallest_K50"": 0.02728866104371208, ""random_K50"": 0.01152863294890077, ""hard_K50"": 0.005810249173504664}"
SatelliteAnomaly.npz,ok,5100,36,0.0147,2.0,0.0,0.04839211350654138,0.0,LOF,0.03491321336451695,"{""CBLOF"": 7.002570589497088, ""COPOD"": 1.9152732628517974, ""ECOD"": 1.8661188313115549, ""HBOS"": 5.754837877423854, ""IForest"": 5.697626641271586, ""KNN"": 8.242591533079057, ""LODA"": 3.6138611883798184, ""LOF"": 8.302373358728413, ""PCA"": 2.604746717456828}","{""IForest"": 0.9507661691542288, ""LOF"": 0.9764378109452736, ""KNN"": 0.9762653399668326, ""ECOD"": 0.8742155887230514, ""COPOD"": 0.9053665008291873, ""HBOS"": 0.9079137645107793, ""PCA"": 0.8914626865671641, ""CBLOF"": 0.9627064676616915, ""LODA"": 0.9072769485903814}","{""smallest_K30"": 0.03491321336451695, ""random_K30"": 0.007110284507379799, ""hard_K30"": 0.007822269533725652, ""smallest_K50"": 0.030233257328897624, ""random_K50"": 0.0068702351408136695, ""hard_K50"": 0.006433743065422796}"
SalesCustomerAnomaly.npz,ok,8773,3,0.2101,0.0,0.017652887294775543,0.13311207659191016,0.0,LOF,0.05071491361989931,"{""CBLOF"": 3.8133667515001224, ""COPOD"": 4.266054254035154, ""ECOD"": 3.3292690996337075, ""HBOS"": 3.5036548065048883, ""IForest"": 5.599454927502616, ""KNN"": 8.0, ""LODA"": 3.5621330135918265, ""LOF"": 9.0, ""PCA"": 3.926067147231687}","{""IForest"": 0.7541246508962189, ""LOF"": 0.7364717636014434, ""KNN"": 0.7463412122934642, ""ECOD"": 0.6445814238814782, ""COPOD"": 0.70662852852218, ""HBOS"": 0.5479097227605095, ""PCA"": 0.3550196562947513, ""CBLOF"": 0.46963217948025326, ""LODA"": 0.6284040310084803}","{""smallest_K30"": 0.02833003448464975, ""random_K30"": 0.029526272122529305, ""hard_K30"": 0.040015791727381775, ""smallest_K50"": 0.0446904382657313, ""random_K50"": 0.028936942254915214, ""hard_K50"": 0.05071491361989931}"
SalesCustomerAnomaly.npz,ok,8773,3,0.2101,1.0,0.030000023488900074,0.1432485375332182,0.0,LOF,0.045482201097234644,"{""CBLOF"": 2.904710553513376, ""COPOD"": 3.624297933057365, ""ECOD"": 2.8056508045485553, ""HBOS"": 3.968313561549512, ""IForest"": 6.0588154138459975, ""KNN"": 8.0, ""LODA"": 4.432580834045547, ""LOF"": 9.0, ""PCA"": 4.205630899439647}","{""IForest"": 0.7525812344043487, ""LOF"": 0.7225812109154486, ""KNN"": 0.7345681839713311, ""ECOD"": 0.6227152150917751, ""COPOD"": 0.6921503618465096, ""HBOS"": 0.5382489337996664, ""PCA"": 0.345654631737106, ""CBLOF"": 0.4519974960832258, ""LODA"": 0.6234970039907641}","{""smallest_K30"": 0.028566393003895928, ""random_K30"": 0.03997992917461791, ""hard_K30"": 0.045482201097234644, ""smallest_K50"": 0.04319253596055428, ""random_K50"": 0.02789549822219073, ""hard_K50"": 0.04044289146437529}"
SalesCustomerAnomaly.npz,ok,8773,3,0.2101,2.0,0.0,0.11698438014227497,0.0,KNN,0.05406240246319083,"{""CBLOF"": 2.747230861615933, ""COPOD"": 4.358284877462535, ""ECOD"": 3.4055458527675557, ""HBOS"": 4.117360053001764, ""IForest"": 7.0649151508561605, ""KNN"": 8.380053190086606, ""LODA"": 3.31558512943139, ""LOF"": 8.0058361991514, ""PCA"": 3.6051886856266617}","{""IForest"": 0.7382212951936229, ""LOF"": 0.7153090473763289, ""KNN"": 0.7414161771188359, ""ECOD"": 0.6351206820550283, ""COPOD"": 0.6972437341400988, ""HBOS"": 0.5779154227336539, ""PCA"": 0.42280255465279887, ""CBLOF"": 0.4652133301075243, ""LODA"": 0.6266439294111568}","{""smallest_K30"": 0.05406240246319083, ""random_K30"": 0.03299601006416886, ""hard_K30"": 0.036395170593556084, ""smallest_K50"": 0.03372199018965836, ""random_K50"": 0.03290240114762006, ""hard_K50"": 0.04090125408832892}"
DallasShelterOutcomes.npz,ok,5541,13,0.0088,0.0,0.0,0.19564864162225415,0.0,KNN,0.017403099543444933,"{""CBLOF"": 3.9468575642610957, ""COPOD"": 2.094916901762352, ""ECOD"": 3.7647183884183253, ""HBOS"": 4.474734194993027, ""IForest"": 6.934952165862251, ""KNN"": 8.217259937537149, ""LODA"": 3.4313886603402874, ""LOF"": 8.165448272769758}","{""IForest"": 0.7260125160164157, ""LOF"": 0.8416556795602681, ""KNN"": 0.8747841265714659, ""ECOD"": 0.764684035579655, ""COPOD"": 0.8346548810607045, ""HBOS"": 0.6431913984884218, ""CBLOF"": 0.5795992646376111, ""LODA"": 0.16850197767915173}","{""smallest_K30"": 0.009172873672167972, ""random_K30"": 0.017403099543444933, ""hard_K30"": 0.015785844438880182, ""smallest_K50"": 0.00665961178229605, ""random_K50"": 0.012452167021861802, ""hard_K50"": 0.01139987314619426}"
DallasShelterOutcomes.npz,ok,5541,13,0.0088,1.0,0.0035189690070750457,0.14300918274498153,0.0,LOF,0.014222516385989476,"{""CBLOF"": 3.4961964172699425, ""COPOD"": 2.40599526176904, ""ECOD"": 3.436383008732385, ""HBOS"": 4.4672227169996, ""IForest"": 6.6076719775192645, ""KNN"": 7.710264114643023, ""LODA"": 2.7481196840917907, ""LOF"": 8.294109172082965}","{""IForest"": 0.755575569627305, ""LOF"": 0.8581734786726338, ""KNN"": 0.8616924476797089, ""ECOD"": 0.7698649978644779, ""COPOD"": 0.8301052905238531, ""HBOS"": 0.6254387105160535, ""CBLOF"": 0.5710014670108261, ""LODA"": 0.4776141575829604}","{""smallest_K30"": 0.004480255649375415, ""random_K30"": 0.008017431863495454, ""hard_K30"": 0.014222516385989476, ""smallest_K50"": 0.00615590627196082, ""random_K50"": 0.01379886631235033, ""hard_K50"": 0.013328708443821878}"
DallasShelterOutcomes.npz,ok,5541,13,0.0088,2.0,0.0,0.10155916324673642,0.0,KNN,0.01962281744508287,"{""CBLOF"": 4.057666074710607, ""COPOD"": 3.3969465941221078, ""ECOD"": 4.2014170521098295, ""HBOS"": 5.881767265825108, ""IForest"": 6.6416843710109355, ""KNN"": 8.300649554278456, ""LODA"": 2.790624308920703, ""LOF"": 7.19610267432926}","{""IForest"": 0.7683237080091363, ""LOF"": 0.8393994540491355, ""KNN"": 0.871255872685744, ""ECOD"": 0.7604408460381422, ""COPOD"": 0.8371432285380029, ""HBOS"": 0.6416408237544335, ""CBLOF"": 0.6108521661621882, ""LODA"": 0.828517576275278}","{""smallest_K30"": 0.013964050431164466, ""random_K30"": 0.012770968590758294, ""hard_K30"": 0.01546525659561587, ""smallest_K50"": 0.010997518946165635, ""random_K50"": 0.010204854093221787, ""hard_K50"": 0.01962281744508287}"
TBAnomalyDetection.npz,ok,9442,3,0.2202,0.0,0.0,0.04329761504744534,0.0,KNN,0.006992705121597997,"{""COPOD"": 2.177026888555556, ""ECOD"": 2.1530464616555545, ""HBOS"": 4.159781374157035, ""IForest"": 6.485197993329868, ""KNN"": 8.282181690841815, ""LODA"": 5.455334415455914, ""LOF"": 5.681888413001552, ""PCA"": 4.827307091905232}","{""IForest"": 0.7201024566944458, ""LOF"": 0.7061315642442594, ""KNN"": 0.7370462129457377, ""ECOD"": 0.6244532415611845, ""COPOD"": 0.70220094456347, ""HBOS"": 0.7116576817866702, ""PCA"": 0.6437781624475446, ""LODA"": 0.7046185189430267}","{""smallest_K30"": 0.0039458318745747645, ""random_K30"": 0.00406202814751114, ""hard_K30"": 0.006992705121597997, ""smallest_K50"": 0.004139645952242254, ""random_K50"": 0.0037231285729559405, ""hard_K50"": 0.004268651522437519}"
TBAnomalyDetection.npz,ok,9442,3,0.2202,1.0,0.0,0.04973409865636613,0.0,KNN,0.00629654942679818,"{""COPOD"": 3.6806601746697685, ""ECOD"": 2.564766618566924, ""HBOS"": 4.2998167087766666, ""IForest"": 7.746355868322399, ""KNN"": 8.237858257749078, ""LODA"": 4.965295786174722, ""LOF"": 4.985934394935996, ""PCA"": 3.229981704194213}","{""IForest"": 0.7221128297163599, ""LOF"": 0.7065361532435531, ""KNN"": 0.7343465038644943, ""ECOD"": 0.6199260245424537, ""COPOD"": 0.696233011915293, ""HBOS"": 0.7066870169382049, ""PCA"": 0.6389616267416675, ""LODA"": 0.6520960747029994}","{""smallest_K30"": 0.00629654942679818, ""random_K30"": 0.003682365504865685, ""hard_K30"": 0.0027767055776863996, ""smallest_K50"": 0.0034768411564995425, ""random_K50"": 0.0020676021140111915, ""hard_K50"": 0.003371833473711513}"
TBAnomalyDetection.npz,ok,9442,3,0.2202,2.0,0.0,0.039760583888214684,0.0,KNN,0.007100414704846826,"{""COPOD"": 1.837695037215958, ""ECOD"": 1.8745508277471723, ""HBOS"": 4.38593186500899, ""IForest"": 6.165168300850504, ""KNN"": 8.345391629749427, ""LODA"": 5.9462243837471, ""LOF"": 5.114251816321992, ""PCA"": 4.312158145343291}","{""IForest"": 0.7244814223768739, ""LOF"": 0.7265726152352087, ""KNN"": 0.7394905639983713, ""ECOD"": 0.6249842033956088, ""COPOD"": 0.6998570060348743, ""HBOS"": 0.734907018002741, ""PCA"": 0.6507211578494674, ""LODA"": 0.6968258539881079}","{""smallest_K30"": 0.004354137023756865, ""random_K30"": 0.0024676044237059084, ""hard_K30"": 0.005962196454191833, ""smallest_K50"": 0.002893505684509657, ""random_K50"": 0.0015971994819907302, ""hard_K50"": 0.007100414704846826}"
SMSClassification.npz,ok,5574,9,0.134,0.0,0.0,0.11651197998034613,0.0,IForest,0.006008781713127912,"{""CBLOF"": 3.9449610912934463, ""COPOD"": 4.305860971798808, ""ECOD"": 4.000709344463083, ""HBOS"": 5.642577558219324, ""IForest"": 7.4777884149531815, ""KNN"": 5.758062815987895, ""LODA"": 3.7182286890949783, ""LOF"": 4.843397419361496, ""PCA"": 5.308413694827787}","{""IForest"": 0.9313790704571216, ""LOF"": 0.6596946793384719, ""KNN"": 0.843842589128079, ""ECOD"": 0.7543063905033522, ""COPOD"": 0.853840482703762, ""HBOS"": 0.887195434602454, ""PCA"": 0.900981427435068, ""CBLOF"": 0.5913841702212578, ""LODA"": 0.9111795699014138}","{""smallest_K30"": 0.00465832187246917, ""random_K30"": 0.0013746273321286204, ""hard_K30"": 0.005606419668421653, ""smallest_K50"": 0.006008781713127912, ""random_K50"": 0.0010270281532614464, ""hard_K50"": 0.0019764739437138565}"
SMSClassification.npz,ok,5574,9,0.134,1.0,0.0,0.11903068142518702,0.0,IForest,0.005793141092104769,"{""CBLOF"": 3.296796678135859, ""COPOD"": 5.238380711991948, ""ECOD"": 3.7949096055087983, ""HBOS"": 5.349157950543581, ""IForest"": 7.688988241753773, ""KNN"": 5.110424472671496, ""LODA"": 3.27913314042512, ""LOF"": 5.356930553992305, ""PCA"": 5.885278644977123}","{""IForest"": 0.9326221379652497, ""LOF"": 0.6393330395425734, ""KNN"": 0.8412171806619161, ""ECOD"": 0.7516858323563406, ""COPOD"": 0.8525461403931808, ""HBOS"": 0.8768406961178046, ""PCA"": 0.9043711076188812, ""CBLOF"": 0.6488036341362691, ""LODA"": 0.874903340068348}","{""smallest_K30"": 0.005793141092104769, ""random_K30"": 0.000934990877570696, ""hard_K30"": 0.0033277681451118184, ""smallest_K50"": 0.003754402964197806, ""random_K50"": 0.0007675696144556299, ""hard_K50"": 0.0024761461824605742}"
SMSClassification.npz,ok,5574,9,0.134,2.0,0.0,0.12713233118040757,0.0,IForest,0.00832443977445595,"{""CBLOF"": 3.141204363198253, ""COPOD"": 4.685313661436412, ""ECOD"": 3.619110529904043, ""HBOS"": 6.502106672958578, ""IForest"": 7.399048449169163, ""KNN"": 5.524926402297363, ""LODA"": 2.886498884401328, ""LOF"": 5.265849770943346, ""PCA"": 5.975941265691517}","{""IForest"": 0.917538338308375, ""LOF"": 0.62314683163295, ""KNN"": 0.8311014936211374, ""ECOD"": 0.7380003104204257, ""COPOD"": 0.8415643249325806, ""HBOS"": 0.8832950851023139, ""PCA"": 0.896349372645863, ""CBLOF"": 0.49137128223037074, ""LODA"": 0.8912870252576905}","{""smallest_K30"": 0.00832443977445595, ""random_K30"": 0.0019324369616690257, ""hard_K30"": 0.004770737722859187, ""smallest_K50"": 0.004549043414189756, ""random_K50"": 0.001492312156593628, ""hard_K50"": 0.0019525966100032944}"
