dataset,aggregation,spearman_rho,kendall_tau,top1_hit,top3_hit_ratio,n_detectors,note,true_spread,seed
36_speech,mean,0.48333333333333334,0.3888888888888889,1,0.6666666666666666,9,,0.05218767665347651,1
37_Stamps,mean,0.3,0.2222222222222222,0,0.3333333333333333,9,,0.06503642039542146,1
38_thyroid,mean,-0.06666666666666667,0.1111111111111111,0,0.0,9,,0.06646651472650755,1
39_vertebral,mean,-0.41666666666666663,-0.2777777777777778,0,0.0,9,,0.19047619047619047,1
40_vowels,mean,0.9500000000000001,0.8333333333333334,1,1.0,9,,0.45673758865248215,1
41_Waveform,mean,0.7166666666666667,0.5,0,1.0,9,,0.1832286995515695,1
42_WBC,mean,0.2689170581811257,0.2858309752375147,0,0.6666666666666666,9,,0.03488372093023262,1
43_WDBC,mean,-0.42844216777938476,-0.4023398993836124,0,0.0,9,,0.05277777777777781,1
44_Wilt,mean,0.7666666666666667,0.611111111111111,0,1.0,9,,0.5916272092260091,1
47_yeast,mean,-0.049999999999999996,-0.05555555555555555,0,0.3333333333333333,9,,0.1080384816648553,1
6_cardio,mean,0.3571428571428572,0.21428571428571427,0,0.3333333333333333,8,,0.10457291952760239,1
14_glass,mean,0.7227145938617754,0.5716619504750294,1,0.6666666666666666,9,,0.30894308943089444,2
18_Ionosphere,mean,0.21666666666666667,0.1111111111111111,0,0.0,9,,0.24162257495590822,2
19_landsat,mean,0.8833333333333333,0.7222222222222222,0,0.6666666666666666,9,,0.40559503245057116,2
20_letter,mean,0.7833333333333333,0.6666666666666666,1,1.0,9,,0.3663333333333333,2
22_magic.gamma,mean,0.8833333333333333,0.7222222222222222,0,1.0,9,,0.20921916910879101,2
23_mammography,mean,-0.13333333333333333,-0.16666666666666666,0,0.0,9,,0.0909267734553777,2
25_musk,mean,0.7746455690028554,0.6085806194501846,0,1.0,9,,0.0550581526746754,2
26_optdigits,mean,0.523809523809524,0.3571428571428571,0,0.6666666666666666,8,,0.3978500986193294,2
27_PageBlocks,mean,0.7833333333333333,0.611111111111111,1,0.6666666666666666,9,,0.38709334296666464,2
28_pendigits,mean,0.9,0.7222222222222222,0,1.0,9,,0.08850258701338365,2
29_Pima,mean,0.2333333333333333,0.16666666666666666,0,0.3333333333333333,9,,0.12555970149253737,2
30_satellite,mean,0.8499999999999999,0.7222222222222222,0,0.6666666666666666,9,,0.29759834345418845,2
31_satimage-2,mean,0.8333333333333333,0.6666666666666666,0,1.0,9,,0.03277380060660384,2
32_shuttle,mean,0.6833333333333333,0.5555555555555556,1,0.6666666666666666,9,,0.019988849633673977,2
35_SpamBase,mean,0.16666666666666669,0.1111111111111111,0,0.6666666666666666,9,,0.3423539326768475,2
36_speech,mean,0.3666666666666667,0.2777777777777778,1,0.3333333333333333,9,,0.065935556811758,2
37_Stamps,mean,-0.0420182903408009,-0.05716619504750294,0,0.0,9,,0.06399583766909467,2
38_thyroid,mean,0.6333333333333333,0.5,0,0.3333333333333333,9,,0.06358841748480604,2
39_vertebral,mean,-0.5499999999999999,-0.5,0,0.0,9,,0.14841269841269844,2
40_vowels,mean,0.9500000000000001,0.8888888888888888,1,1.0,9,,0.46141843971631213,2
41_Waveform,mean,0.8166666666666667,0.7222222222222222,1,1.0,9,,0.18853512705530628,2
42_WBC,mean,0.7491057470676988,0.5892556509887895,0,0.6666666666666666,9,,0.03953488372093017,2
43_WDBC,mean,-0.2175970699446223,-0.1217161238900369,0,0.3333333333333333,9,,0.04444444444444451,2
44_Wilt,mean,0.16666666666666669,0.05555555555555555,0,0.3333333333333333,9,,0.6643255015108185,2
47_yeast,mean,0.15,0.0,0,0.6666666666666666,9,,0.13854003139717425,2
6_cardio,mean,0.0,-0.07142857142857142,0,0.3333333333333333,8,,0.10472741005218345,2
14_glass,mean,0.8333333333333333,0.6666666666666666,1,0.6666666666666666,9,,0.19241192411924135,3
18_Ionosphere,mean,0.5,0.3888888888888889,0,0.6666666666666666,9,,0.23633156966490287,3
19_landsat,mean,0.8166666666666667,0.611111111111111,0,0.6666666666666666,9,,0.3927338347809284,3
20_letter,mean,0.7999999999999999,0.5555555555555556,0,0.6666666666666666,9,,0.34243333333333326,3
22_magic.gamma,mean,0.8666666666666667,0.6666666666666666,0,1.0,9,,0.2033871020921133,3
23_mammography,mean,-0.31666666666666665,-0.3333333333333333,0,0.0,9,,0.08372909698996678,3
25_musk,mean,0.6755244875897048,0.5883484054145521,0,0.3333333333333333,9,,0.03789920203056274,3
26_optdigits,mean,0.7142857142857144,0.5714285714285714,0,1.0,8,,0.37149901380670625,3
27_PageBlocks,mean,0.8333333333333333,0.611111111111111,0,1.0,9,,0.2860758223453147,3
28_pendigits,mean,0.8833333333333333,0.7222222222222222,0,1.0,9,,0.09890791759741857,3
29_Pima,mean,0.43333333333333335,0.3333333333333333,0,0.6666666666666666,9,,0.11977611940298505,3
30_satellite,mean,0.8166666666666667,0.7222222222222222,1,0.6666666666666666,9,,0.2939788355063404,3
31_satimage-2,mean,0.8666666666666667,0.7222222222222222,1,1.0,9,,0.034480641477460994,3
32_shuttle,mean,0.8666666666666667,0.6666666666666666,0,1.0,9,,0.04859891348901324,3
35_SpamBase,mean,0.19999999999999998,0.1111111111111111,0,0.6666666666666666,9,,0.2499988229394967,3
36_speech,mean,0.31666666666666665,0.2222222222222222,1,0.6666666666666666,9,,0.038371961560203505,3
37_Stamps,mean,0.33333333333333337,0.2222222222222222,0,0.0,9,,0.06503642039542146,3
38_thyroid,mean,-0.08333333333333334,0.05555555555555555,0,0.0,9,,0.06951262272089775,3
