dataset,seed,contam,contam_label,regret,random_regret
28_pendigits,2,0.02,0.020,0.005565419936231608,0.042906873882301966
28_pendigits,2,0.05,0.050,0.005565419936231608,0.042906873882301966
28_pendigits,2,0.022707423580786028,natural,0.005565419936231608,0.042906873882301966
29_Pima,0,0.0,0.000,0.0,0.051268656716418004
29_Pima,0,0.005,0.005,0.002649253731343393,0.051268656716418004
29_Pima,0,0.01,0.010,0.002649253731343393,0.051268656716418004
29_Pima,0,0.02,0.020,0.0,0.051268656716418004
29_Pima,0,0.05,0.050,0.002649253731343393,0.051268656716418004
29_Pima,0,0.3489583333333333,natural,0.002649253731343393,0.051268656716418004
29_Pima,1,0.0,0.000,0.019925373134328517,0.05353233830845794
29_Pima,1,0.005,0.005,0.019925373134328517,0.05353233830845794
29_Pima,1,0.01,0.010,0.0,0.05353233830845794
29_Pima,1,0.02,0.020,0.0,0.05353233830845794
29_Pima,1,0.05,0.050,0.0,0.05353233830845794
29_Pima,1,0.3489583333333333,natural,0.0,0.05353233830845794
29_Pima,2,0.0,0.000,0.010111940298507482,0.04617330016583754
29_Pima,2,0.005,0.005,0.010111940298507482,0.04617330016583754
29_Pima,2,0.01,0.010,0.010111940298507482,0.04617330016583754
29_Pima,2,0.02,0.020,0.00033582089552242067,0.04617330016583754
29_Pima,2,0.05,0.050,0.00033582089552242067,0.04617330016583754
29_Pima,2,0.3489583333333333,natural,0.00033582089552242067,0.04617330016583754
30_satellite,0,0.0,0.000,0.009719927665654438,0.11959142009485813
30_satellite,0,0.005,0.005,0.034747834434720404,0.11959142009485813
30_satellite,0,0.01,0.010,0.034747834434720404,0.11959142009485813
30_satellite,0,0.02,0.020,0.034747834434720404,0.11959142009485813
30_satellite,0,0.05,0.050,0.034747834434720404,0.11959142009485813
30_satellite,0,0.3163947163947164,natural,0.034747834434720404,0.11959142009485813
30_satellite,1,0.0,0.000,0.02898117967494196,0.12436291946974676
30_satellite,1,0.005,0.005,0.02898117967494196,0.12436291946974676
30_satellite,1,0.01,0.010,0.0,0.12436291946974676
30_satellite,1,0.02,0.020,0.0,0.12436291946974676
30_satellite,1,0.05,0.050,0.0,0.12436291946974676
30_satellite,1,0.3163947163947164,natural,0.02898117967494196,0.12436291946974676
30_satellite,2,0.0,0.000,0.037204188247901504,0.12352010403643521
30_satellite,2,0.005,0.005,0.037204188247901504,0.12352010403643521
30_satellite,2,0.01,0.010,0.037204188247901504,0.12352010403643521
30_satellite,2,0.02,0.020,0.037204188247901504,0.12352010403643521
30_satellite,2,0.05,0.050,0.037204188247901504,0.12352010403643521
30_satellite,2,0.3163947163947164,natural,0.037204188247901504,0.12352010403643521
31_satimage-2,0,0.0,0.000,0.0,0.01455521855340125
31_satimage-2,0,0.005,0.005,0.0,0.01455521855340125
31_satimage-2,0,0.01,0.010,0.002799710205435013,0.01455521855340125
31_satimage-2,0,0.02,0.020,0.002799710205435013,0.01455521855340125
