dataset,aggregation,spearman_rho,kendall_tau,top1_hit,top3_hit_ratio,n_detectors,note,K,selection,seed,true_spread
31_satimage-2,mean,0.7212121212121211,0.5111111111111111,0,1.0,10,,30,random,0,0.036396232670653395
31_satimage-2,varweight,0.7454545454545454,0.5555555555555555,0,1.0,10,,30,random,0,0.036396232670653395
32_shuttle,borda,0.56535215562246,0.44946657497549475,1,0.6666666666666666,10,,30,random,0,0.02991837954340104
32_shuttle,mean,0.6363636363636362,0.5111111111111111,1,0.6666666666666666,10,,30,random,0,0.02991837954340104
32_shuttle,varweight,0.5878787878787878,0.4666666666666666,1,0.6666666666666666,10,,30,random,0,0.02991837954340104
35_SpamBase,borda,0.41818181818181815,0.3333333333333333,0,0.6666666666666666,10,,30,random,0,0.3140591637691359
35_SpamBase,mean,0.6727272727272726,0.5555555555555555,0,0.6666666666666666,10,,30,random,0,0.3140591637691359
35_SpamBase,varweight,0.6969696969696969,0.6,0,0.6666666666666666,10,,30,random,0,0.3140591637691359
36_speech,borda,0.33434804902403553,0.22473328748774737,0,0.3333333333333333,10,,30,random,0,0.046896551724137925
36_speech,mean,0.0303030303030303,0.06666666666666667,0,0.3333333333333333,10,,30,random,0,0.046896551724137925
36_speech,varweight,0.41818181818181815,0.3333333333333333,0,0.3333333333333333,10,,30,random,0,0.046896551724137925
37_Stamps,borda,0.309090909090909,0.19999999999999998,0,0.3333333333333333,10,,30,random,0,0.11134235171696139
37_Stamps,mean,0.07878787878787878,0.06666666666666667,0,0.3333333333333333,10,,30,random,0,0.11134235171696139
37_Stamps,varweight,0.17575757575757575,0.1111111111111111,0,0.3333333333333333,10,,30,random,0,0.11134235171696139
38_thyroid,borda,0.35258521533443743,0.26967994498529685,0,0.0,10,,30,random,0,0.073851683029453
38_thyroid,mean,0.43030303030303024,0.28888888888888886,0,0.0,10,,30,random,0,0.073851683029453
38_thyroid,varweight,0.2727272727272727,0.19999999999999998,0,0.0,10,,30,random,0,0.073851683029453
39_vertebral,borda,0.18787878787878787,0.1111111111111111,0,0.3333333333333333,10,,30,random,0,0.20793650793650797
39_vertebral,mean,0.35757575757575755,0.28888888888888886,0,0.6666666666666666,10,,30,random,0,0.20793650793650797
39_vertebral,varweight,0.5515151515151515,0.3333333333333333,0,0.6666666666666666,10,,30,random,0,0.20793650793650797
40_vowels,borda,0.9272727272727272,0.7777777777777777,0,1.0,10,,30,random,0,0.5124822695035461
40_vowels,mean,0.8909090909090909,0.6888888888888888,0,1.0,10,,30,random,0,0.5124822695035461
40_vowels,varweight,0.9151515151515152,0.7777777777777777,0,1.0,10,,30,random,0,0.5124822695035461
41_Waveform,borda,0.25,0.16666666666666666,0,0.3333333333333333,9,,30,random,0,0.21808669656203283
41_Waveform,mean,0.35,0.2222222222222222,0,0.3333333333333333,9,,30,random,0,0.21808669656203283
41_Waveform,varweight,0.0,0.0,0,0.3333333333333333,9,,30,random,0,0.21808669656203283
42_WBC,borda,-0.19800873517968648,-0.21773242158072692,1,0.3333333333333333,10,,30,random,0,0.011627906976744207
42_WBC,mean,-0.19800873517968648,-0.21773242158072692,1,0.3333333333333333,10,,30,random,0,0.011627906976744207
42_WBC,varweight,-0.13655774839978377,-0.1632993161855452,1,0.3333333333333333,10,,30,random,0,0.011627906976744207
43_WDBC,borda,-0.35017717490828154,-0.2548235957188128,0,0.0,10,,30,random,0,0.04861111111111116
43_WDBC,mean,-0.3943699921394939,-0.2771739468734333,0,0.0,10,,30,random,0,0.04861111111111116
43_WDBC,varweight,-0.7176240840571118,-0.579545525280815,0,0.0,10,,30,random,0,0.04861111111111116
44_Wilt,borda,0.6969696969696969,0.5111111111111111,0,0.6666666666666666,10,,30,random,0,0.5430210406535941
44_Wilt,mean,0.7333333333333332,0.5555555555555555,0,0.6666666666666666,10,,30,random,0,0.5430210406535941
44_Wilt,varweight,0.709090909090909,0.5111111111111111,0,0.6666666666666666,10,,30,random,0,0.5430210406535941
47_yeast,borda,0.7112494861056756,0.5393598899705937,0,0.6666666666666666,10,,30,random,0,0.12056716177595295
47_yeast,mean,0.7818181818181817,0.6,0,0.6666666666666666,10,,30,random,0,0.12056716177595295
