modality,seed,dataset,regret,top1_agree,rank_margin,inter_regime_rho,rand_regret,best_is_local
tabular,1,29_Pima,0.07223880597014931,0.5,0.16985214683365513,0.4455555555555556,0.06328772802653404,False
tabular,1,30_satellite,0.02898117967494196,1.0,0.22300940696647975,0.882222222222222,0.12456186372566536,True
tabular,1,31_satimage-2,0.004488131930203809,0.8333333333333334,0.1657436764714615,0.8533333333333333,0.014248232785261328,True
tabular,1,32_shuttle,0.0,0.6666666666666666,0.07864166699774966,0.698888888888889,0.06387984455709628,True
tabular,1,35_SpamBase,0.01502341173340993,0.5,0.12446436312331022,0.0922222222222222,0.10987984043244681,False
tabular,1,36_speech,0.0,1.0,0.2201988002797799,0.5611111111111111,0.037532818290308356,True
tabular,1,37_Stamps,0.03381893860561913,1.0,0.125,0.9588888888888888,0.02607237830963116,False
tabular,1,38_thyroid,0.01682298971481999,0.8333333333333334,0.11488626024894844,0.7222222222222222,0.030225702560905954,False
tabular,1,39_vertebral,0.09761904761904766,0.3333333333333333,0.11767621294103525,0.5322222222222223,0.1221340388007055,True
tabular,1,40_vowels,0.0028368794326240065,0.5,0.011437259983346992,0.9433333333333331,0.20247438928289974,True
tabular,1,41_Waveform,0.0023467862481315604,1.0,0.16195400447458952,0.7066666666666667,0.07149809001826946,True
tabular,1,42_WBC,0.0,0.6666666666666666,0.06037420447705899,0.8855555555555555,0.014728682170542795,True
tabular,1,43_WDBC,0.001388888888888884,0.3333333333333333,0.025320044707409783,0.18777777777777777,0.008487654320987748,True
tabular,1,44_Wilt,0.0,0.5,0.05202614759854107,0.62,0.3567362244639447,True
tabular,1,47_yeast,0.12349555206698054,0.6666666666666666,0.1288003484094412,0.5544444444444445,0.13033964407590776,False
tabular,1,6_cardio,0.03613361713814889,0.6666666666666666,0.10055589858885416,0.7244444444444442,0.03763274741371414,False
tabular,2,14_glass,0.0,0.3333333333333333,0.017403941451281657,0.8055555555555555,0.11894007828967179,True
tabular,2,18_Ionosphere,0.0455026455026456,0.3333333333333333,0.029220457982709225,0.4266666666666667,0.10241034685479133,True
tabular,2,19_landsat,0.0025650389090906556,1.0,0.15119557491872326,0.9022222222222221,0.20139576193428055,True
tabular,2,20_letter,0.0,1.0,0.125,0.9344444444444444,0.22175925925925932,True
tabular,2,22_magic.gamma,0.010232254758021142,0.8333333333333334,0.11836467257649352,0.9355555555555555,0.10576533420308087,True
tabular,2,23_mammography,0.05680513994015146,1.0,0.17121699562020376,0.8333333333333334,0.033679809892624646,False
tabular,2,25_musk,0.0,0.8333333333333334,0.11561348606948507,0.8355555555555554,0.014439171008076235,True
tabular,2,26_optdigits,0.002389875082182691,0.8333333333333334,0.09948676761423172,0.8841269841269844,0.17442020052596985,True
tabular,2,27_PageBlocks,0.0035001103819215507,0.6666666666666666,0.16333568848745772,0.33888888888888885,0.11832707835778467,False
tabular,2,28_pendigits,0.005565419936231608,1.0,0.12499999999999978,0.9688888888888888,0.038758530567912564,True
tabular,2,29_Pima,0.04313432835820907,0.6666666666666666,0.16330695777764825,0.33111111111111113,0.04655472636815927,False
tabular,2,30_satellite,0.037204188247901504,1.0,0.17158818906501505,0.8833333333333333,0.12461547572979315,True
tabular,2,31_satimage-2,0.004481992214840913,0.8333333333333334,0.1409441404138816,0.7744444444444445,0.013797986991989752,True
tabular,2,32_shuttle,0.0,1.0,0.12499999999999989,0.698888888888889,0.0747278677754476,True
tabular,2,35_SpamBase,0.04484541664410635,0.8333333333333334,0.1240875703326002,0.6422222222222221,0.12872137486944446,False
tabular,2,36_speech,0.032786885245901676,1.0,0.19649561286945927,0.6666666666666666,0.05680547704289929,False
tabular,2,37_Stamps,0.00572320499479706,1.0,0.12499999999999978,0.918888888888889,0.0191929702855822,False
tabular,2,38_thyroid,0.011782667134174862,1.0,0.12500000000000022,0.8044444444444444,0.04198320866448502,False
tabular,2,39_vertebral,0.09761904761904772,0.3333333333333333,0.210783096666313,0.31111111111111106,0.1071428571428572,True
tabular,2,40_vowels,0.00773049645390067,0.3333333333333333,0.02391294203661265,0.9566666666666666,0.20356973995271865,True
tabular,2,41_Waveform,0.0,1.0,0.1633683932619776,0.881111111111111,0.07924098986879236,True
tabular,2,42_WBC,0.0,0.6666666666666666,0.08770065100369207,0.6122222222222221,0.010594315245478048,True
tabular,2,43_WDBC,0.04444444444444451,0.3333333333333333,0.0640967284940075,0.47111111111111104,0.009104938271605079,False
tabular,2,44_Wilt,0.0,0.3333333333333333,0.02505108834624048,0.4466666666666666,0.36282827335754986,True
tabular,2,47_yeast,0.02780461296944814,0.8333333333333334,0.1528428885806442,0.7444444444444446,0.06981901899484322,True
tabular,2,6_cardio,0.024649821477615963,0.6666666666666666,0.08037111516117967,0.8388888888888888,0.038706551924074684,False
tabular,3,14_glass,0.016260162601626105,0.3333333333333333,0.20952581628073275,0.6666666666666666,0.12255344775669996,True
tabular,3,18_Ionosphere,0.0,0.3333333333333333,0.12499999999999989,0.6444444444444444,0.10699588477366251,True
tabular,3,19_landsat,0.0,0.6666666666666666,0.07407907814808556,0.8955555555555554,0.2003833475508936,True
tabular,3,20_letter,0.0,0.8333333333333334,0.15080700318064966,0.7988888888888889,0.2180629629629629,True
tabular,3,22_magic.gamma,0.01304655665308374,1.0,0.12500000000000022,0.9044444444444445,0.0980130640456146,True
tabular,3,23_mammography,0.07126386199612755,1.0,0.125,0.8133333333333334,0.03584032545130955,False
tabular,3,25_musk,0.0,1.0,0.125,0.84,0.009134828053136146,True
tabular,3,26_optdigits,0.00029914529914520926,1.0,0.142857142857143,0.8682539682539685,0.1710597468770545,True
tabular,3,27_PageBlocks,0.006558693078049793,0.6666666666666666,0.11119094228759141,0.2677777777777778,0.111929609783183,False
tabular,3,28_pendigits,0.005412681138667774,1.0,0.125,0.9622222222222222,0.04640978970837495,True
tabular,3,29_Pima,0.0799626865671641,0.6666666666666666,0.021942927609468255,0.38222222222222224,0.06115671641791043,False
tabular,3,30_satellite,0.02171872209323089,0.6666666666666666,0.11146916494428338,0.8855555555555557,0.12061398612847529,True
tabular,3,31_satimage-2,0.004064491570170747,0.8333333333333334,0.17565718207116376,0.8033333333333331,0.014828094791747515,True
tabular,3,32_shuttle,0.0,0.6666666666666666,0.06043285930945408,0.7433333333333335,0.02563875174622754,True
tabular,3,35_SpamBase,0.044375180973052264,0.5,0.16843210273664355,0.4244444444444444,0.12010686139955629,False
tabular,3,36_speech,0.0,1.0,0.18006704882075075,0.5811111111111111,0.031337227561082814,True
tabular,3,37_Stamps,0.02809573361082196,0.6666666666666666,0.052014326858783155,0.9144444444444445,0.018210197710717968,False
tabular,3,38_thyroid,0.02178295932678831,1.0,0.12499999999999978,0.7000000000000001,0.029263090229079136,False
tabular,3,39_vertebral,0.06825396825396823,0.3333333333333333,0.039714451290153274,0.8077777777777776,0.08187830687830688,True
tabular,3,40_vowels,0.002695035460992923,0.6666666666666666,0.00953583266054614,0.9544444444444444,0.218983451536643,True
tabular,3,41_Waveform,0.02479820627802698,0.6666666666666666,0.0258218273272518,0.21666666666666662,0.09423351602723806,True
tabular,3,42_WBC,0.0,0.6666666666666666,0.1128138145739046,0.7455555555555556,0.01033591731266148,True
tabular,3,43_WDBC,0.009722222222222188,0.3333333333333333,0.12500000000000022,0.17555555555555558,0.010185185185185186,True
tabular,3,44_Wilt,0.10428697456966163,0.5,0.0819445129210673,0.6188888888888887,0.359058921690772,True
tabular,3,47_yeast,0.03356076158273957,0.8333333333333334,0.11895228260691937,0.6300000000000001,0.07077893616355158,True
tabular,3,6_cardio,0.014968415270530055,0.8333333333333334,0.10274368647195176,0.7422222222222222,0.039244884647074985,False
tabular,4,14_glass,0.03252032520325199,0.6666666666666666,0.023497443862711798,0.5988888888888888,0.10689551339957848,True
tabular,4,18_Ionosphere,0.014462081128747695,0.6666666666666666,0.16643048444741404,0.5700000000000001,0.09592396629433653,True
tabular,4,19_landsat,0.00794419956605219,1.0,0.14190871917759318,0.9477777777777777,0.20153471276732005,True
tabular,4,20_letter,0.0,0.8333333333333334,0.10184560565666967,0.8277777777777778,0.2214814814814815,True
tabular,4,22_magic.gamma,0.01137781878693489,1.0,0.12500000000000022,0.8522222222222222,0.10299946871807264,True
tabular,4,23_mammography,0.04269670832599903,1.0,0.14592189216440987,0.8044444444444445,0.030813041522423812,False
tabular,4,25_musk,0.0,0.8333333333333334,0.10949162408371871,0.8344444444444444,0.016915561273274093,True
