modality,seed,dataset,r1_ens_smallest_rand,r3_ens_smallest_rand,r1_uniform_bank,r3_uniform_bank,r1_discriminative,r3_discriminative,r1_stability,r3_stability,r1_disc_x_stab,r3_disc_x_stab,r1_margin,r3_margin,r1_softmax_var_T0.001,r3_softmax_var_T0.001,r1_softmax_var_T0.0003,r3_softmax_var_T0.0003,r1_agreement,r3_agreement,r1_disc_agree,r3_disc_agree,r1_best_regime_var,r3_best_regime_var,r1_best_regime_agr,r3_best_regime_agr,r1_zscore_disc,r3_zscore_disc,r1_zscore_uniform,r3_zscore_uniform,r1_top1_vote,r3_top1_vote,r1_ORACLE_best_regime,r3_ORACLE_best_regime
tabular,1,22_magic.gamma,0.011738076582176404,0.0,0.011738076582176404,0.0,0.011738076582176404,0.0,0.011738076582176404,0.0,0.011738076582176404,0.0,0.011738076582176404,0.0,0.011738076582176404,0.0,0.011738076582176404,0.0,0.011738076582176404,0.0,0.011738076582176404,0.0,0.011738076582176404,0.0,0.011738076582176404,0.0,0.011738076582176404,0.0,0.011738076582176404,0.0,0.011738076582176404,0.0,0.0,0.0
tabular,1,23_mammography,0.04634747403626138,0.028021475092413484,0.04634747403626138,0.028021475092413484,0.04634747403626138,0.028021475092413484,0.04634747403626138,0.028021475092413484,0.04634747403626138,0.028021475092413484,0.04634747403626138,0.028021475092413484,0.04634747403626138,0.028253828551311533,0.04634747403626138,0.028253828551311533,0.04634747403626138,0.028021475092413484,0.04634747403626138,0.028021475092413484,0.04634747403626138,0.028253828551311533,0.04634747403626138,0.028021475092413484,0.04634747403626138,0.028021475092413484,0.04634747403626138,0.028021475092413484,0.04634747403626138,0.028021475092413484,0.04634747403626138,0.04634747403626138
tabular,1,25_musk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tabular,1,26_optdigits,0.0,0.0,0.00239973701512175,0.0,0.00239973701512175,0.0,0.00239973701512175,0.0,0.00239973701512175,0.0,0.00239973701512175,0.0,0.00239973701512175,0.0,0.00239973701512175,0.0,0.00239973701512175,0.0,0.00239973701512175,0.0,0.00239973701512175,0.0,0.00239973701512175,0.0,0.00239973701512175,0.0,0.00239973701512175,0.0,0.00239973701512175,0.0,0.0,0.0
tabular,1,27_PageBlocks,0.010699018604370947,0.005005318401669734,0.010699018604370947,0.005005318401669734,0.010699018604370947,0.005005318401669734,0.010699018604370947,0.005005318401669734,0.010699018604370947,0.005005318401669734,0.010699018604370947,0.005005318401669734,0.005005318401669734,0.0,0.005005318401669734,0.0,0.010699018604370947,0.005005318401669734,0.010699018604370947,0.005005318401669734,0.005005318401669734,0.0,0.010699018604370947,0.005005318401669734,0.010699018604370947,0.005005318401669734,0.010699018604370947,0.005005318401669734,0.010699018604370947,0.005005318401669734,0.005005318401669734,0.005005318401669734
tabular,1,28_pendigits,0.007441243293812128,0.0,0.007441243293812128,0.0,0.007441243293812128,0.0,0.007441243293812128,0.0,0.007441243293812128,0.0,0.007441243293812128,0.0,0.007441243293812128,0.0,0.007441243293812128,0.0,0.007441243293812128,0.0,0.007441243293812128,0.0,0.007441243293812128,0.0,0.007441243293812128,0.0,0.007441243293812128,0.0,0.007441243293812128,0.0,0.007441243293812128,0.0,0.0,0.0
tabular,1,29_Pima,0.07223880597014931,0.0,0.07223880597014931,0.0,0.07223880597014931,0.0,0.07223880597014931,0.0,0.07223880597014931,0.0,0.07223880597014931,0.0,0.07223880597014931,0.0,0.019925373134328517,0.0,0.07223880597014931,0.0,0.07223880597014931,0.0,0.019925373134328517,0.0,0.07223880597014931,0.0,0.07223880597014931,0.0,0.07223880597014931,0.0,0.07223880597014931,0.0,0.0,0.0
tabular,1,30_satellite,0.02898117967494196,0.0,0.02898117967494196,0.0,0.02898117967494196,0.0,0.02898117967494196,0.0,0.02898117967494196,0.0,0.02898117967494196,0.0021103098767637496,0.02898117967494196,0.0,0.02898117967494196,0.0,0.02898117967494196,0.0,0.02898117967494196,0.0,0.02898117967494196,0.0,0.02898117967494196,0.0,0.02898117967494196,0.0,0.02898117967494196,0.0,0.02898117967494196,0.0,0.02898117967494196,0.02898117967494196
tabular,1,31_satimage-2,0.004488131930203809,0.0,0.004488131930203809,0.0,0.004488131930203809,0.0,0.004488131930203809,0.0,0.004488131930203809,0.0,0.004488131930203809,0.0,0.004488131930203809,0.0,0.004488131930203809,0.0,0.004488131930203809,0.0,0.004488131930203809,0.0,0.004488131930203809,0.0,0.004488131930203809,0.0,0.004488131930203809,0.0,0.004488131930203809,0.0,0.004488131930203809,0.0,0.0,0.0
tabular,1,32_shuttle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tabular,1,35_SpamBase,0.01502341173340993,0.0,0.1832883303867585,0.0,0.01502341173340993,0.0,0.01502341173340993,0.0,0.01502341173340993,0.0,0.01502341173340993,0.0,0.01502341173340993,0.0,0.01502341173340993,0.0,0.0,0.0,0.01502341173340993,0.0,0.01502341173340993,0.0,0.0,0.0,0.01502341173340993,0.0,0.1832883303867585,0.0,0.01502341173340993,0.0,0.0,0.0
tabular,1,36_speech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tabular,1,37_Stamps,0.03381893860561913,0.01196670135275757,0.03381893860561913,0.01196670135275757,0.03381893860561913,0.01196670135275757,0.03381893860561913,0.01196670135275757,0.03381893860561913,0.01196670135275757,0.03381893860561913,0.01196670135275757,0.03381893860561913,0.01196670135275757,0.03381893860561913,0.01196670135275757,0.03381893860561913,0.01196670135275757,0.03381893860561913,0.01196670135275757,0.03381893860561913,0.01196670135275757,0.03381893860561913,0.01196670135275757,0.03381893860561913,0.01196670135275757,0.03381893860561913,0.01196670135275757,0.03381893860561913,0.01196670135275757,0.03381893860561913,0.03381893860561913
tabular,1,38_thyroid,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999,0.01682298971481999
