dataset,bench,seed,status,regret_cluster,regret_aug,max_regime_var,random_regret
38_thyroid,adb,1,ok,0.01682298971481999,0.01682298971481999,0.2707755886101927,0.021396615760220117
38_thyroid,adb,2,ok,0.011782667134174862,0.011782667134174862,0.26998796889648374,0.029121863799283165
41_Waveform,adb,0,ok,0.0,0.0,0.2582486314320948,0.07530269058295957
41_Waveform,adb,1,ok,0.0023467862481315604,0.0023467862481315604,0.38748618953537967,0.07120577977080222
41_Waveform,adb,2,ok,0.0,0.0,0.3229126984439111,0.08492110945025722
Annthyroid,dami,0,ok,0.09233459123782928,0.09233459123782928,0.22268544564427928,0.10010113400705545
Annthyroid,dami,1,ok,0.08719578161869312,0.08719578161869312,0.24347186506227803,0.12967443084317454
Annthyroid,dami,2,ok,0.09861701493300168,0.09861701493300168,0.23605429960237634,0.08604341237592505
44_Wilt,adb,0,ok,0.0,0.0,0.2681424204935256,0.3729775841959986
44_Wilt,adb,1,ok,0.0,0.0,0.28689427095542575,0.37477110422588833
44_Wilt,adb,2,ok,0.0,0.0,0.2907462166149073,0.36202231399362317
27_PageBlocks,adb,0,ok,0.007216970718686544,0.007216970718686544,0.2551312588597284,0.11777204683761366
27_PageBlocks,adb,1,ok,0.010699018604370947,0.010699018604370947,0.2357013304264002,0.1000086967574475
27_PageBlocks,adb,2,ok,0.0035001103819215507,0.0035001103819215507,0.2327518278481609,0.09944028561043428
28_pendigits,adb,0,ok,0.005207438379441376,0.005207438379441376,0.3353369592250371,0.04743494281841276
28_pendigits,adb,1,ok,0.007441243293812128,0.007441243293812128,0.40416485363067317,0.03812954371405597
28_pendigits,adb,2,ok,0.005565419936231608,0.005565419936231608,0.29219963924684605,0.042152726069330626
31_satimage-2,adb,0,ok,0.002799710205435013,0.002799710205435013,0.25555726164699666,0.015197842094707203
31_satimage-2,adb,1,ok,0.004488131930203809,0.004488131930203809,0.29826347531399305,0.01356740657058686
31_satimage-2,adb,2,ok,0.004481992214840913,0.004481992214840913,0.30536931186663285,0.013859384145617604
26_optdigits,adb,0,ok,0.0017422748191977533,0.0017422748191977533,0.3878322400607579,0.19986522024983544
26_optdigits,adb,1,ok,0.00239973701512175,0.00239973701512175,0.28237951222282465,0.19097140039447735
26_optdigits,adb,2,ok,0.002389875082182691,0.002389875082182691,0.3552991351101269,0.1895796351084813
30_satellite,adb,0,ok,0.034747834434720404,0.034747834434720404,0.3140622528642147,0.11981746492429202
30_satellite,adb,1,ok,0.02898117967494196,0.02898117967494196,0.22492351743271186,0.128050457919073
30_satellite,adb,2,ok,0.037204188247901504,0.037204188247901504,0.3740814658118642,0.12549633739159782
35_SpamBase,adb,0,ok,0.04404266138088009,0.04404266138088009,0.4735862990488644,0.12589714897636262
35_SpamBase,adb,1,ok,0.01502341173340993,0.01502341173340993,0.5511705478363126,0.12438233750091232
35_SpamBase,adb,2,ok,0.04484541664410635,0.04484541664410635,0.5120573317184921,0.12870810024265766
19_landsat,adb,0,ok,0.001127118214421352,0.001127118214421352,0.30942227567284714,0.20003082716483878
19_landsat,adb,1,ok,0.0,0.0,0.22330867938568594,0.20030260585061377
19_landsat,adb,2,ok,0.0025650389090906556,0.0025650389090906556,0.3733991316420227,0.20424139662078444
25_musk,adb,0,ok,0.0,0.0,0.3134815286317871,0.019975313363814973
25_musk,adb,1,ok,0.0,0.0,0.2779793506647021,0.020239951013059976
25_musk,adb,2,ok,0.0,0.0,0.27799480007765065,0.015399206859716852
23_mammography,adb,0,ok,0.04940151381798985,0.04940151381798985,0.254483417375087,0.029841968354554216
23_mammography,adb,1,ok,0.04634747403626138,0.04634747403626138,0.3924335813880877,0.030317823544368294
23_mammography,adb,2,ok,0.05680513994015146,0.05680513994015146,0.36405978492779106,0.04175379921375355
36_speech,adb,0,ok,0.0023289994347088783,0.0023289994347088783,0.296940951323759,0.024960743671879893
36_speech,adb,1,ok,0.0,0.0,0.2847080066200711,0.03466616418566676
36_speech,adb,2,ok,0.021684567552289424,0.021684567552289424,0.23994570583113042,0.046936750204132904
22_magic.gamma,adb,0,ok,0.009781629470736242,0.009781629470736242,0.26790458161658043,0.09813566186904776
22_magic.gamma,adb,1,ok,0.011738076582176404,0.011738076582176404,0.30175272333101133,0.10923491321488288
22_magic.gamma,adb,2,ok,0.010232254758021142,0.010232254758021142,0.3100889245154394,0.1056305136359218
InternetAds,dami,0,ok,0.08292289402173902,0.08292289402173902,0.34625335316738975,0.16630765021135274
InternetAds,dami,1,ok,0.10058169157608698,0.10058169157608698,0.29526212329284074,0.19520965428743975
InternetAds,dami,2,ok,0.10278108016304355,0.10278108016304355,0.37885703602522425,0.19645842768719812
